name,name_school
"DeYoung, Henry","DeYoung, Henry CMU"
"Eckhardt, Dave","Eckhardt, Dave CMU"
"Gligor, Virgil","Gligor, Virgil CMU"
"Jahanian, Farnam","Jahanian, Farnam CMU"
"Kohlbrenner, Anne","Kohlbrenner, Anne CMU"
"Kosbie, David","Kosbie, David CMU"
"Needham, Kit","Needham, Kit CMU"
"Sherry, Justine","Sherry, Justine CMU"
"Vinayak, Rashmi Korlakai","Vinayak, Rashmi Korlakai CMU"
David Albonesi,David Albonesi nan
Anne Bracy,Anne Bracy nan
Robert Constable,Robert Constable nan
Alan Demers,Alan Demers nan
K-Y. Daisy Fan,K-Y. Daisy Fan nan
Donald Greenberg,Donald Greenberg nan
Curran Muhlberger,Curran Muhlberger nan
"Alexander ""Sasha"" Rush","Alexander ""Sasha"" Rush nan"
G. Edward Suh,G. Edward Suh nan
Tim Teitelbaum,Tim Teitelbaum nan
Hal Abelson,Hal Abelson MIT
Elfar Adalsteinsson,Elfar Adalsteinsson MIT
Regina Barzilay,Regina Barzilay MIT
YuFeng (Kevin)  Chen,YuFeng (Kevin)  Chen MIT
Isaac Chuang,Isaac Chuang MIT
Connor Wilson Coley,Connor Wilson Coley MIT
Dennis Freeman,Dennis Freeman MIT
David Gifford,David Gifford MIT
W. Eric L Grimson,W. Eric L Grimson MIT
Tomás Lozano-Pérez,Tomás Lozano-Pérez MIT
Alan Oppenheim,Alan Oppenheim MIT
Asu Ozdaglar,Asu Ozdaglar MIT
Collin Stultz,Collin Stultz MIT
Brynmor Chapman,Brynmor Chapman MIT
Shafrira Goldwasser,Shafrira Goldwasser MIT
M. Frans Kaashoek,M. Frans Kaashoek MIT
Steven Leeb,Steven Leeb MIT
Barbara Liskov,Barbara Liskov MIT
Silvio Micali,Silvio Micali MIT
Gill Bejerano,Gill Bejerano Stanford
Ron Fedkiw,Ron Fedkiw Stanford
Fred Kjolstad,Fred Kjolstad Stanford
Mendel Rosenblum,Mendel Rosenblum Stanford
Nick Parlante,Nick Parlante Stanford
Keith Schwarz,Keith Schwarz Stanford
Nick Troccoli,Nick Troccoli Stanford
Christina Wodtke,Christina Wodtke Stanford
Julie Zelenski,Julie Zelenski Stanford
Tom Dienstbier,Tom Dienstbier Stanford
Edward Feigenbaum,Edward Feigenbaum Stanford
Richard Fikes,Richard Fikes Stanford
Teresa Meng,Teresa Meng Stanford
Vaughan Pratt,Vaughan Pratt Stanford
Terry Winograd,Terry Winograd Stanford
Camille Utterback,Camille Utterback Stanford
Juan Carlos Niebles Duque,Juan Carlos Niebles Duque Stanford
Sebastian Thrun,Sebastian Thrun Stanford
Babak Ayazifar,Babak Ayazifar Berkeley
John F. Canny,John F. Canny Berkeley
David E. Culler,David E. Culler Berkeley
Prabal Dutta,Prabal Dutta Berkeley
Alexei (Alyosha) Efros,Alexei (Alyosha) Efros Berkeley
Richard J. Fateman,Richard J. Fateman Berkeley
Jerome A. Feldman,Jerome A. Feldman Berkeley
Shafi Goldwasser,Shafi Goldwasser Berkeley
Joseph M. Hellerstein,Joseph M. Hellerstein Berkeley
Joshua Hug,Joshua Hug Berkeley
Christopher Hunn,Christopher Hunn Berkeley
Peyrin Kao,Peyrin Kao Berkeley
John D. Kubiatowicz,John D. Kubiatowicz Berkeley
Beresford N. Parlett,Beresford N. Parlett Berkeley
Stuart J. Russell,Stuart J. Russell Berkeley
Carlo H. Séquin,Carlo H. Séquin Berkeley
Costas J. Spanos,Costas J. Spanos Berkeley
Michael Stonebraker,Michael Stonebraker Berkeley
Umesh Vazirani,Umesh Vazirani Berkeley
Lisa Yan,Lisa Yan Berkeley
Katherine A. Yelick,Katherine A. Yelick Berkeley
Justin Yokota,Justin Yokota Berkeley
Sarita V. Adve,Sarita V. Adve UIUC
Mattox Alan Beckman,Mattox Alan Beckman UIUC
Geoffrey Werner Challen,Geoffrey Werner Challen UIUC
Ryan Matthew Cunningham,Ryan Matthew Cunningham UIUC
Carl Evans,Carl Evans UIUC
Wade A. Fagen-Ulmschneider,Wade A. Fagen-Ulmschneider UIUC
Christopher Wardlaw Fletcher,Christopher Wardlaw Fletcher UIUC
William D. Gropp,William D. Gropp UIUC
Geoffrey Lindsay Herman,Geoffrey Lindsay Herman UIUC
Derek W. Hoiem,Derek W. Hoiem UIUC
Andreas Paul Eberhard Kloeckner,Andreas Paul Eberhard Kloeckner UIUC
Marco Morales Aguirre,Marco Morales Aguirre UIUC
John F. Reid,John F. Reid UIUC
Eric Gene Shaffer,Eric Gene Shaffer UIUC
Makrand SINHA,Makrand SINHA UIUC
Brad R. Solomon,Brad R. Solomon UIUC
Sarah Gimbert Sterman,Sarah Gimbert Sterman UIUC
Michael Joseph Woodley,Michael Joseph Woodley UIUC
"Kaynar, Zeliha Dilsun","Kaynar, Zeliha Dilsun CMU"
Yury Polyanskiy,Yury Polyanskiy MIT
Michael Stonebraker,Michael Stonebraker MIT
Fred Kjoelstad,Fred Kjoelstad Stanford
Aviad Rubinstein,Aviad Rubinstein Stanford
Jean-Claude Latombe,Jean-Claude Latombe Stanford
Domenico Ferrari,Domenico Ferrari Berkeley
Paul N. Hilfinger,Paul N. Hilfinger Berkeley
Timothy Moon-Yew Chan,Timothy Moon-Yew Chan UIUC
Chandra Sekhar Chekuri,Chandra Sekhar Chekuri UIUC
Michael A. Forbes,Michael A. Forbes UIUC
Sheldon Howard Jacobson,Sheldon Howard Jacobson UIUC
Robin Hillary Kravets,Robin Hillary Kravets UIUC
Luther Tychonievich,Luther Tychonievich UIUC
Victor Zue,Victor Zue MIT
Anand V Natarajan,Anand V Natarajan MIT
Randy H. Katz,Randy H. Katz Berkeley
Matus Jan Telgarsky,Matus Jan Telgarsky UIUC
Serge Plotkin,Serge Plotkin Stanford
Michael J. Clancy,Michael J. Clancy Berkeley
David A. Patterson,David A. Patterson Berkeley
David A. Wagner,David A. Wagner Berkeley
