name,name_school
"Ada, Anil","Ada, Anil CMU"
"Berger, Daniel","Berger, Daniel CMU"
"Blum, Manuel","Blum, Manuel CMU"
"Brookes, Stephen","Brookes, Stephen CMU"
"Chrysanthis, Panos","Chrysanthis, Panos CMU"
"DeYoung, Henry","DeYoung, Henry CMU"
"Donahue, Chris","Donahue, Chris CMU"
"Eckhardt, Dave","Eckhardt, Dave CMU"
"Erdmann, Michael","Erdmann, Michael CMU"
"Fatahalian, Kayvon","Fatahalian, Kayvon CMU"
"Gligor, Virgil","Gligor, Virgil CMU"
"Guruswami, Venkatesan","Guruswami, Venkatesan CMU"
"Jahanian, Farnam","Jahanian, Farnam CMU"
"Kaynar, Zeliha Dilsun","Kaynar, Zeliha Dilsun CMU"
"Kohlbrenner, Anne","Kohlbrenner, Anne CMU"
"Kosbie, David","Kosbie, David CMU"
"Labrinidis, Alexandros","Labrinidis, Alexandros CMU"
"Needham, Kit","Needham, Kit CMU"
"Procaccia, Ariel","Procaccia, Ariel CMU"
"Sherry, Justine","Sherry, Justine CMU"
"Vinayak, Rashmi Korlakai","Vinayak, Rashmi Korlakai CMU"
"Wing, Jeannette","Wing, Jeannette CMU"
"Zheng, Wenting","Zheng, Wenting CMU"
David Albonesi,David Albonesi 
Anne Bracy,Anne Bracy 
Robert Constable,Robert Constable 
Alan Demers,Alan Demers 
K-Y. Daisy Fan,K-Y. Daisy Fan 
Carla Gomes,Carla Gomes 
Donald Greenberg,Donald Greenberg 
Curran Muhlberger,Curran Muhlberger 
Martha E. Pollack,Martha E. Pollack 
"Alexander ""Sasha"" Rush","Alexander ""Sasha"" Rush "
G. Edward Suh,G. Edward Suh 
A. Kevin Tang,A. Kevin Tang 
Tim Teitelbaum,Tim Teitelbaum 
Walker White,Walker White 
Zhiru Zhang,Zhiru Zhang 
Hal Abelson,Hal Abelson MIT
Elfar Adalsteinsson,Elfar Adalsteinsson MIT
Regina Barzilay,Regina Barzilay MIT
YuFeng (Kevin)  Chen,YuFeng (Kevin)  Chen MIT
Isaac Chuang,Isaac Chuang MIT
Connor Wilson Coley,Connor Wilson Coley MIT
Luca Daniel,Luca Daniel MIT
Frederic Durand,Frederic Durand MIT
Dennis Freeman,Dennis Freeman MIT
David Gifford,David Gifford MIT
W. Eric L Grimson,W. Eric L Grimson MIT
Tomás Lozano-Pérez,Tomás Lozano-Pérez MIT
Alan Oppenheim,Alan Oppenheim MIT
Asu Ozdaglar,Asu Ozdaglar MIT
Yury Polyanskiy,Yury Polyanskiy MIT
Jeffrey Shapiro,Jeffrey Shapiro MIT
Collin Stultz,Collin Stultz MIT
Gerald Sussman,Gerald Sussman MIT
Christopher Tanner,Christopher Tanner MIT
Jacob White,Jacob White MIT
Lizhong Zheng,Lizhong Zheng MIT
Victor Zue,Victor Zue MIT
Brynmor Chapman,Brynmor Chapman MIT
Shafrira Goldwasser,Shafrira Goldwasser MIT
M. Frans Kaashoek,M. Frans Kaashoek MIT
Butler Lampson,Butler Lampson MIT
Steven Leeb,Steven Leeb MIT
Barbara Liskov,Barbara Liskov MIT
Silvio Micali,Silvio Micali MIT
Anand V Natarajan,Anand V Natarajan MIT
Nir Shavit,Nir Shavit MIT
Michael Stonebraker,Michael Stonebraker MIT
Andrew Wang,Andrew Wang MIT
Gill Bejerano,Gill Bejerano Stanford
Ron Fedkiw,Ron Fedkiw Stanford
Fred Kjoelstad,Fred Kjoelstad Stanford
Fred Kjolstad,Fred Kjolstad Stanford
Karen Liu,Karen Liu Stanford
Chris Manning,Chris Manning Stanford
Mendel Rosenblum,Mendel Rosenblum Stanford
Aviad Rubinstein,Aviad Rubinstein Stanford
Matei Zaharia,Matei Zaharia Stanford
Jay Borenstein,Jay Borenstein Stanford
Jerry Cain,Jerry Cain Stanford
Nick Parlante,Nick Parlante Stanford
Keith Schwarz,Keith Schwarz Stanford
Nick Troccoli,Nick Troccoli Stanford
Christina Wodtke,Christina Wodtke Stanford
Patrick Young,Patrick Young Stanford
Julie Zelenski,Julie Zelenski Stanford
