key,value
eventLog.rolloverIntervalSeconds,3600
spark.akka.frameSize,256
spark.app.id,local-1569182932812
spark.app.name,Databricks Shell
spark.cleaner.referenceTracking.blocking,false
spark.databricks.acl.client,com.databricks.spark.sql.acl.client.SparkSqlAclClient
spark.databricks.acl.provider,com.databricks.sql.acl.ReflectionBackedAclProvider
spark.databricks.cloudProvider,AWS
spark.databricks.clusterSource,UI
spark.databricks.clusterUsageTags.autoTerminationMinutes,120
spark.databricks.clusterUsageTags.clusterAllTags,"[{""key"":""Name"",""value"":""ce1-worker""}]"
spark.databricks.clusterUsageTags.clusterAvailability,ON_DEMAND
spark.databricks.clusterUsageTags.clusterCreator,Webapp
spark.databricks.clusterUsageTags.clusterEbsVolumeCount,0
spark.databricks.clusterUsageTags.clusterEbsVolumeSize,0
spark.databricks.clusterUsageTags.clusterEbsVolumeType,GENERAL_PURPOSE_SSD
spark.databricks.clusterUsageTags.clusterFirstOnDemand,0
spark.databricks.clusterUsageTags.clusterGeneration,0
spark.databricks.clusterUsageTags.clusterId,0922-200830-ibis51
spark.databricks.clusterUsageTags.clusterLogDeliveryEnabled,false
spark.databricks.clusterUsageTags.clusterLogDestination,
spark.databricks.clusterUsageTags.clusterMetastoreAccessType,RDS_DIRECT
spark.databricks.clusterUsageTags.clusterName,gong
spark.databricks.clusterUsageTags.clusterNoDriverDaemon,false
spark.databricks.clusterUsageTags.clusterNodeType,dev-tier-node
spark.databricks.clusterUsageTags.clusterNumSshKeys,0
spark.databricks.clusterUsageTags.clusterOwnerOrgId,878710848725182
spark.databricks.clusterUsageTags.clusterOwnerUserId,1392710524086439
spark.databricks.clusterUsageTags.clusterPinned,false
spark.databricks.clusterUsageTags.clusterPythonVersion,3
spark.databricks.clusterUsageTags.clusterResourceClass,default
spark.databricks.clusterUsageTags.clusterScalingType,fixed_size
spark.databricks.clusterUsageTags.clusterSku,STANDARD_SKU
spark.databricks.clusterUsageTags.clusterSpotBidPricePercent,100
spark.databricks.clusterUsageTags.clusterState,Pending
spark.databricks.clusterUsageTags.clusterStateMessage,Starting Spark
spark.databricks.clusterUsageTags.clusterTargetWorkers,0
spark.databricks.clusterUsageTags.clusterWorkers,0
spark.databricks.clusterUsageTags.containerType,LXC
spark.databricks.clusterUsageTags.containerZoneId,us-west-2c
spark.databricks.clusterUsageTags.driverContainerId,92412ed9c5434a15b3812bfff5e5071b
spark.databricks.clusterUsageTags.driverContainerPrivateIp,10.172.244.42
spark.databricks.clusterUsageTags.driverInstanceId,i-0ee700dcbab260c0c
spark.databricks.clusterUsageTags.driverInstancePrivateIp,10.172.231.140
spark.databricks.clusterUsageTags.driverNodeType,dev-tier-node
spark.databricks.clusterUsageTags.driverPublicDns,ec2-34-221-210-167.us-west-2.compute.amazonaws.com
spark.databricks.clusterUsageTags.enableCredentialPassthrough,false
spark.databricks.clusterUsageTags.enableDfAcls,false
spark.databricks.clusterUsageTags.enableElasticDisk,false
spark.databricks.clusterUsageTags.enableJdbcAutoStart,true
spark.databricks.clusterUsageTags.enableJobsAutostart,true
spark.databricks.clusterUsageTags.enableSqlAclsOnly,false
spark.databricks.clusterUsageTags.isSingleUserCluster,false
spark.databricks.clusterUsageTags.numPerClusterInitScriptsV2,0
spark.databricks.clusterUsageTags.sparkVersion,5.5.x-scala2.11
spark.databricks.clusterUsageTags.userProvidedRemoteVolumeCount,0
spark.databricks.clusterUsageTags.userProvidedRemoteVolumeSizeGb,0
spark.databricks.clusterUsageTags.userProvidedRemoteVolumeType,"ebs_volume_type: GENERAL_PURPOSE_SSD
"
spark.databricks.clusterUsageTags.workerEnvironmentId,default-worker-env
spark.databricks.credential.redactor,com.databricks.logging.secrets.CredentialRedactorProxyImpl
spark.databricks.delta.logStore.crossCloud.fatal,true
spark.databricks.delta.multiClusterWrites.enabled,true
spark.databricks.delta.preview.enabled,true
spark.databricks.driverNodeTypeId,dev-tier-node
spark.databricks.eventLog.dir,eventlogs
spark.databricks.io.directoryCommit.enableLogicalDelete,false
spark.databricks.overrideDefaultCommitProtocol,org.apache.spark.sql.execution.datasources.SQLHadoopMapReduceCommitProtocol
spark.databricks.passthrough.adls.gen2.tokenProviderClassName,com.databricks.backend.daemon.data.client.adl.AdlGen2CredentialContextTokenProvider
spark.databricks.passthrough.adls.tokenProviderClassName,com.databricks.backend.daemon.data.client.adl.AdlCredentialContextTokenProvider
spark.databricks.passthrough.glue.credentialsProviderFactoryClassName,com.databricks.backend.daemon.driver.aws.DatabricksCredentialProviderFactory
spark.databricks.passthrough.glue.executorServiceFactoryClassName,com.databricks.backend.daemon.driver.GlueClientExecutorServiceFactory
spark.databricks.passthrough.s3a.tokenProviderClassName,com.databricks.backend.daemon.driver.aws.AwsCredentialContextTokenProvider
spark.databricks.preemption.enabled,true
spark.databricks.redactor,com.databricks.spark.util.DatabricksSparkLogRedactorProxy
spark.databricks.session.share,false
spark.databricks.sparkContextId,9101657570955339055
spark.databricks.tahoe.logStore.aws.class,com.databricks.tahoe.store.S3LockBasedLogStore
spark.databricks.tahoe.logStore.azure.class,com.databricks.tahoe.store.AzureLogStore
spark.databricks.tahoe.logStore.class,com.databricks.tahoe.store.DelegatingLogStore
spark.databricks.workerNodeTypeId,dev-tier-node
spark.driver.allowMultipleContexts,false
spark.driver.host,ip-10-172-244-42.us-west-2.compute.internal
spark.driver.maxResultSize,4g
spark.driver.port,45516
spark.driver.tempDirectory,/local_disk0/tmp
spark.eventLog.enabled,false
