"Station Name","MONTEBELLO (SEDBERGH)"
"Province","QUEBEC"
"Latitude","45.70"
"Longitude","-74.93"
"Elevation","196.60"
"Climate Identifier","7035110"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2012-01-01","2012","01","01","","3.0","","-4.0","","-0.5","","18.5","","0.0","","0.0","T","0.0","T","0.0","T","30","","","","",""
"2012-01-02","2012","01","02","","0.5","","-7.5","","-3.5","","21.5","","0.0","","0.0","","0.0","T","0.0","T","25","","","","",""
"2012-01-03","2012","01","03","","-16.0","","-20.0","","-18.0","","36.0","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"2012-01-04","2012","01","04","","-8.0","","-25.0","","-16.5","","34.5","","0.0","","0.0","","3.0","","3.0","","20","","","","",""
"2012-01-05","2012","01","05","","-4.0","","-14.5","","-9.3","","27.3","","0.0","","0.0","","4.0","","4.0","","23","","","","",""
"2012-01-06","2012","01","06","","-8.0","","-14.0","","-11.0","","29.0","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"2012-01-07","2012","01","07","","","M","-10.0","","","M","","M","","M","0.0","T","0.0","T","0.0","T","27","","","","",""
"2012-01-08","2012","01","08","","","M","-9.5","","","M","","M","","M","0.0","","1.0","","1.0","","27","","","","",""
"2012-01-09","2012","01","09","","0.0","","-13.0","","-6.5","","24.5","","0.0","","0.0","","4.0","","4.0","","25","","","","",""
"2012-01-10","2012","01","10","","1.0","","-8.0","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
