Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
26590780,10/30/2013 11:18:00 PM,,DEP,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),,11236,,,,,EAST 96 STREET,ST JUDE PLACE,INTERSECTION,BROOKLYN,,N/A,Open,,,18 BROOKLYN,BROOKLYN,1014643,170018,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.63328455805577,-73.89049865475536,"(40.63328455805577, -73.89049865475536)"
26595918,10/30/2013 11:15:00 PM,,DEP,Department of Environmental Protection,Water System,Possible Water Main Break (Use Comments) (WA1),,11432,82-11 172 STREET,172 STREET,82 AVENUE,GRAND CENTRAL PARKWAY,,,ADDRESS,Jamaica,,N/A,Open,,,08 QUEENS,QUEENS,1041240,201478,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.71950372818996,-73.79440796487808,"(40.71950372818996, -73.79440796487808)"
26595898,10/30/2013 10:49:00 PM,,DEP,Department of Environmental Protection,Water System,No Water/Low Pressure (WA5),,10001,17 WEST 32 STREET,WEST 32 STREET,5 AVENUE,BROADWAY,,,ADDRESS,NEW YORK,,N/A,Open,,,05 MANHATTAN,MANHATTAN,988074,211597,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.747460631838564,-73.9861991025855,"(40.747460631838564, -73.9861991025855)"
26591246,10/30/2013 10:48:00 PM,,DEP,Department of Environmental Protection,Water System,No Water/Low Pressure (WA5),,10001,10 WEST 31 STREET,WEST 31 STREET,5 AVENUE,BROADWAY,,,ADDRESS,NEW YORK,,N/A,Open,,,05 MANHATTAN,MANHATTAN,987960,211358,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.74680468544432,-73.98661066284879,"(40.74680468544432, -73.98661066284879)"
26594036,10/30/2013 10:47:00 PM,,DEP,Department of Environmental Protection,Water System,No Water/Low Pressure (WA5),,10001,9 WEST 32 STREET,WEST 32 STREET,5 AVENUE,BROADWAY,,,ADDRESS,NEW YORK,,N/A,Open,,,05 MANHATTAN,MANHATTAN,988117,211573,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.74739473917165,-73.98604392847245,"(40.74739473917165, -73.98604392847245)"
26593215,10/30/2013 10:42:00 PM,,DEP,Department of Environmental Protection,Water System,No Water/Low Pressure (WA5),,10001,23 WEST 32 STREET,WEST 32 STREET,5 AVENUE,BROADWAY,,,ADDRESS,NEW YORK,,N/A,Open,,,05 MANHATTAN,MANHATTAN,988042,211615,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.74751005109395,-73.98631458111575,"(40.74751005109395, -73.98631458111575)"
26592240,10/30/2013 10:37:00 PM,,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11221,1115 PUTNAM AVENUE,PUTNAM AVENUE,BROADWAY,BUSHWICK AVENUE,,,ADDRESS,BROOKLYN,,N/A,Open,,,04 BROOKLYN,BROOKLYN,1006915,190162,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.688598513707845,-73.91827373008564,"(40.688598513707845, -73.91827373008564)"
26590411,10/30/2013 10:29:00 PM,10/30/2013 10:45:00 PM,DEP,Department of Environmental Protection,Water System,Possible Water Main Break (Use Comments) (WA1),,11373,79-09 QUEENS BOULEVARD,QUEENS BOULEVARD,BARNWELL AVENUE,CORNISH AVENUE,,,ADDRESS,Elmhurst,,N/A,Closed,,10/30/2013 10:45:00 PM,04 QUEENS,QUEENS,1016222,208226,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.73815111497396,-73.88462846053623,"(40.73815111497396, -73.88462846053623)"
26593145,10/30/2013 10:27:00 PM,,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11221,1115 PUTNAM AVENUE,PUTNAM AVENUE,BROADWAY,BUSHWICK AVENUE,,,ADDRESS,BROOKLYN,,N/A,Open,,,04 BROOKLYN,BROOKLYN,1006915,190162,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.688598513707845,-73.91827373008564,"(40.688598513707845, -73.91827373008564)"
26595992,10/30/2013 09:34:00 PM,,DEP,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),,10036,726 8 AVENUE,8 AVENUE,WEST 45 STREET,WEST 46 STREET,,,ADDRESS,NEW YORK,,N/A,Open,,,05 MANHATTAN,MANHATTAN,987495,215907,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.75929071988525,-73.98828664591294,"(40.75929071988525, -73.98828664591294)"
