date_,wp,rsi_old,rsi
20050225,97.262,,
20050228,96.8306,,
20050301,97.2774,,
20050302,97.3049,,
20050303,97.3315,,
20050304,98.3526,,
20050307,98.5731,,
20050308,98.263,,
20050309,97.3475,,
20050310,97.1951,,
20050311,96.8469,,
20050314,97.0654,,
20050315,96.6788,,
20050316,95.7252,,
20050317,95.8076,,
20050318,95.2642,,
20050321,94.8594,,
20050322,94.2404,,
20050323,94.0081,,
20050324,94.1794,,
20050328,94.2852,,
20050329,93.7473,,
20050330,94.5814,,
20050331,94.7571,,
20050401,94.4629,,
20050404,94.2787,,
20050405,94.8017,,
20050406,95.1758,,
20050407,95.5261,,
20050408,94.9543,,
20050411,94.8019,,
20050412,95.0165,,
20050413,94.4201,,
20050414,93.2778,,
20050415,92.0195,,
20050418,91.8853,,
20050419,92.583,,
20050420,91.6484,,
20050421,92.8278,,
20050422,92.6868,,
20050425,93.2805,,
20050426,92.7688,,
20050427,92.6702,,
20050428,91.9623,,
20050429,92.5771,,
20050502,93.2517,,
20050503,93.459,,
20050504,94.1189,,
20050505,94.2448,,
20050506,94.155,,
20050509,94.462,,
20050510,93.7301,,
20050511,93.8608,,
20050512,93.294,,
20050513,92.8765,,
20050516,93.5314,,
20050517,94.11,,
20050518,95.2468,,
20050519,95.6592,,
20050520,95.5935,,
20050523,96.0747,,
20050524,95.9343,,
20050525,95.8285,,
20050526,96.299,,
20050527,96.4284,,
20050531,96.0264,,
20050601,96.5934,,
20050602,96.815,,
20050603,96.4914,,
20050606,96.2805,,
20050607,96.6166,,
20050608,96.3358,,
20050609,96.5133,,
20050610,96.4426,,
20050613,96.7296,,
20050614,96.983,,
20050615,97.0445,,
20050616,97.3925,,
20050617,97.3534,,
20050620,97.436,,
20050621,97.4505,,
20050622,97.555,,
20050623,96.5519,,
20050624,95.6816,,
20050627,95.6154,,
20050628,96.2917,,
20050629,96.2838,,
20050630,95.8434,,
20050701,95.939,,
20050705,96.4785,,
20050706,96.126,,
20050707,95.947,,
20050708,97.0619,,
20050711,97.7761,,
20050712,98.0788,,
20050713,98.1983,,
20050714,98.6839,,
20050715,98.5398,,
20050718,98.1913,,
20050719,98.6272,,
20050720,98.896,1.6977,2.0218183643558234
20050721,98.6351,1.3611,1.682082734945432
20050722,98.9821,1.7829,2.650447656659864
20050725,98.9597,1.7537,2.090783094552293
20050726,98.8484,1.6073,1.9131132067083385
20050727,99.2256,2.0714,2.333654204492248
20050728,99.8205,2.7926,1.831402106535279
20050729,99.4496,2.297,1.0804601937200644
20050801,99.2803,2.0717,1.2617525057170766
20050802,99.7632,2.6595,3.0397218230552383
20050803,100.015,2.9633,3.535758399812437
20050804,99.3898,2.1243,3.1554574442835843
20050805,98.8178,1.3722,2.1538466530651164
20050808,98.5433,1.0152,2.302324330164737
20050809,98.9742,1.5489,4.075825335620493
20050810,99.1362,1.7485,4.164124181538007
20050811,99.2629,1.905,5.0542855913899984
20050812,98.8328,1.334,5.01161798406855
20050815,99.2006,1.7922,6.307915573390616
20050816,98.3247,0.6453,5.385303567212247
20050817,98.1806,0.4595,5.004578083849211
20050818,98.0798,0.3292,4.747268311791686
20050819,98.3168,0.6321,5.7644570317308705
20050822,98.3324,0.6523,4.8295897377489965
20050823,97.9703,0.1753,4.112155904287903
20050824,97.5488,-0.374,3.9353890604082196
20050825,97.5381,-0.3879,4.181226620057984
20050826,97.0594,-1.0092,2.8930552107309992
20050829,97.4254,-0.5207,2.894297123562154
20050830,97.0778,-0.9711,1.9887528923852642
20050831,98.0434,0.2988,3.9401902559189637
20050901,98.3349,0.6735,4.480876694824943
20050902,98.2132,0.5129,4.059149879908375
20050906,99.0966,1.6369,5.907580796675596
20050907,99.4023,2.0178,7.893611757395661
20050908,99.1907,1.7329,9.491440062630303
20050909,99.8952,2.6059,10.454827673138382
20050912,99.8678,2.5686,9.670386016378338
20050913,99.3824,1.909,10.38312757277118
20050914,98.9921,1.3854,8.455190581590998
20050915,98.8925,1.2522,8.526420017651013
20050916,99.0513,1.4549,8.028198796005277
20050919,98.7934,1.1062,8.434637922736925
20050920,98.2311,0.3547,7.680428619969639
20050921,97.2187,-0.9569,7.191696442178632
20050922,97.2854,-0.8687,6.555505836744565
20050923,97.4622,-0.6341,5.946283169485
20050926,97.6155,-0.4304,5.878720858847686
20050927,97.5428,-0.5257,4.921561066428048
20050928,97.6526,-0.378,4.903281207215407
20050929,98.1825,0.3305,5.727531404688449
20050930,98.6366,0.9277,5.910789731739186
20051003,98.5331,0.787,6.915208225857874
20051004,97.6491,-0.3944,5.325843373042993
20051005,96.3565,-2.0423,4.210617493957223
