icon_name,icon_caption,category
business_center,Business Center,places
elevator,Elevator,places
tty,Tty,places
rv_hookup,Rv Hookup,places
balcony,Balcony,places
microwave,Microwave,places
bento,Bento,places
checkroom,Checkroom,places
no_cell,No Cell,places
wash,Wash,places
cottage,Cottage,places
grass,Grass,places
stairs,Stairs,places
pool,Pool,places
fence,Fence,places
fitness_center,Fitness Center,places
all_inclusive,All Inclusive,places
dry,Dry,places
roofing,Roofing,places
fire_extinguisher,Fire Extinguisher,places
smoking_rooms,Smoking Rooms,places
meeting_room,Meeting Room,places
no_drinks,No Drinks,places
tapas,Tapas,places
desk,Desk,places
house_siding,House Siding,places
corporate_fare,Corporate Fare,places
water_damage,Water Damage,places
other_houses,Other Houses,places
rice_bowl,Rice Bowl,places
stroller,Stroller,places
baby_changing_station,Baby Changing Station,places
iron,Iron,places
no_backpack,No Backpack,places
backpack,Backpack,places
no_food,No Food,places
countertops,Countertops,places
sports_bar,Sports Bar,places
no_photography,No Photography,places
storefront,Storefront,places
crib,Crib,places
hot_tub,Hot Tub,places
ac_unit,Ac Unit,places
do_not_touch,Do Not Touch,places
night_shelter,Night Shelter,places
chalet,Chalet,places
do_not_step,Do Not Step,places
house,House,places
apartment,Apartment,places
child_care,Child Care,places
spa,Spa,places
bathtub,Bathtub,places
gite,Gite,places
soap,Soap,places
carpenter,Carpenter,places
golf_course,Golf Course,places
free_breakfast,Free Breakfast,places
family_restroom,Family Restroom,places
airport_shuttle,Airport Shuttle,places
foundation,Foundation,places
no_stroller,No Stroller,places
smoke_free,Smoke Free,places
room_service,Room Service,places
room_preferences,Room Preferences,places
escalator_warning,Escalator Warning,places
umbrella,Umbrella,places
vape_free,Vape Free,places
bungalow,Bungalow,places
beach_access,Beach Access,places
no_meeting_room,No Meeting Room,places
casino,Casino,places
cabin,Cabin,places
kitchen,Kitchen,places
child_friendly,Child Friendly,places
houseboat,Houseboat,places
vaping_rooms,Vaping Rooms,places
holiday_village,Holiday Village,places
charging_station,Charging Station,places
wheelchair_pickup,Wheelchair Pickup,places
food_bank,Food Bank,places
escalator,Escalator,places
villa,Villa,places
no_flash,No Flash,places
event_busy,Event Busy,notification
no_encryption,No Encryption,notification
phone_paused,Phone Paused,notification
do_disturb_alt,Do Disturb Alt,notification
phone_bluetooth_speaker,Phone Bluetooth Speaker,notification
power_off,Power Off,notification
sync_lock,Sync Lock,notification
folder_special,Folder Special,notification
airline_seat_individual_suite,Airline Seat Individual Suite,notification
wc,Wc,notification
sync,Sync,notification
system_update,System Update,notification
add_call,Add Call,notification
airline_seat_flat,Airline Seat Flat,notification
wifi,Wifi,notification
ondemand_video,Ondemand Video,notification
airline_seat_legroom_reduced,Airline Seat Legroom Reduced,notification
vibration,Vibration,notification
do_not_disturb,Do Not Disturb,notification
drive_eta,Drive Eta,notification
sim_card_alert,Sim Card Alert,notification
directions_off,Directions Off,notification
sync_disabled,Sync Disabled,notification
sms_failed,Sms Failed,notification
airline_seat_recline_extra,Airline Seat Recline Extra,notification
do_not_disturb_off,Do Not Disturb Off,notification
adb,Adb,notification
sd_card,Sd Card,notification
network_locked,Network Locked,notification
phone_missed,Phone Missed,notification
airline_seat_legroom_normal,Airline Seat Legroom Normal,notification
tv_off,Tv Off,notification
priority_high,Priority High,notification
time_to_leave,Time To Leave,notification
sync_problem,Sync Problem,notification
do_disturb_off,Do Disturb Off,notification
disc_full,Disc Full,notification
imagesearch_roller,Imagesearch Roller,notification
do_not_disturb_alt,Do Not Disturb Alt,notification
do_not_disturb_on,Do Not Disturb On,notification
support_agent,Support Agent,notification
more,More,notification
phone_in_talk,Phone In Talk,notification
airline_seat_flat_angled,Airline Seat Flat Angled,notification
wifi_off,Wifi Off,notification
account_tree,Account Tree,notification
do_disturb,Do Disturb,notification
do_disturb_on,Do Disturb On,notification
no_encryption_gmailerrorred,No Encryption Gmailerrorred,notification
event_note,Event Note,notification
phone_forwarded,Phone Forwarded,notification
enhanced_encryption,Enhanced Encryption,notification
power,Power,notification
phone_callback,Phone Callback,notification
sd_card_alert,Sd Card Alert,notification
sms,Sms,notification
network_check,Network Check,notification
airline_seat_recline_normal,Airline Seat Recline Normal,notification
mms,Mms,notification
voice_chat,Voice Chat,notification
bluetooth_audio,Bluetooth Audio,notification
confirmation_number,Confirmation Number,notification
running_with_errors,Running With Errors,notification
airline_seat_legroom_extra,Airline Seat Legroom Extra,notification
video_chat,Video Chat,notification
phone_locked,Phone Locked,notification
personal_video,Personal Video,notification
live_tv,Live Tv,notification
tap_and_play,Tap And Play,notification
event_available,Event Available,notification
vpn_lock,Vpn Lock,notification
star_purple500,Star Purple500,toggle
star_outline,Star Outline,toggle
radio_button_unchecked,Radio Button Unchecked,toggle
toggle_off,Toggle Off,toggle
radio_button_checked,Radio Button Checked,toggle
check_box_outline_blank,Check Box Outline Blank,toggle
star_half,Star Half,toggle
indeterminate_check_box,Indeterminate Check Box,toggle
star_border_purple500,Star Border Purple500,toggle
star_border,Star Border,toggle
star,Star,toggle
toggle_on,Toggle On,toggle
check_box,Check Box,toggle
archive,Archive,content
amp_stories,Amp Stories,content
reply_all,Reply All,content
flag_circle,Flag Circle,content
content_copy,Content Copy,content
remove,Remove,content
create,Create,content
save,Save,content
font_download,Font Download,content
policy,Policy,content
add_link,Add Link,content
waves,Waves,content
forward,Forward,content
web_stories,Web Stories,content
delete_sweep,Delete Sweep,content
ballot,Ballot,content
low_priority,Low Priority,content
sort,Sort,content
next_week,Next Week,content
square_foot,Square Foot,content
inbox,Inbox,content
where_to_vote,Where To Vote,content
report_gmailerrorred,Report Gmailerrorred,content
file_copy,File Copy,content
inventory_2,Inventory 2,content
attribution,Attribution,content
add,Add,content
redo,Redo,content
link_off,Link Off,content
add_box,Add Box,content
unarchive,Unarchive,content
content_paste,Content Paste,content
move_to_inbox,Move To Inbox,content
undo,Undo,content
add_circle,Add Circle,content
select_all,Select All,content
weekend,Weekend,content
content_paste_off,Content Paste Off,content
save_alt,Save Alt,content
reply,Reply,content
calculate,Calculate,content
save_as,Save As,content
upcoming,Upcoming,content
biotech,Biotech,content
change_circle,Change Circle,content
mail,Mail,content
stacked_bar_chart,Stacked Bar Chart,content
text_format,Text Format,content
report_off,Report Off,content
bolt,Bolt,content
remove_circle,Remove Circle,content
add_circle_outline,Add Circle Outline,content
block,Block,content
block_flipped,Block Flipped,content
gesture,Gesture,content
report,Report,content
content_paste_search,Content Paste Search,content
stream,Stream,content
drafts,Drafts,content
remove_circle_outline,Remove Circle Outline,content
copy_all,Copy All,content
dynamic_feed,Dynamic Feed,content
filter_list,Filter List,content
flag,Flag,content
inventory,Inventory,content
outlined_flag,Outlined Flag,content
font_download_off,Font Download Off,content
markunread,Markunread,content
push_pin,Push Pin,content
content_cut,Content Cut,content
link,Link,content
deselect,Deselect,content
content_paste_go,Content Paste Go,content
send,Send,content
how_to_vote,How To Vote,content
clear,Clear,content
backspace,Backspace,content
insights,Insights,content
filter_list_off,Filter List Off,content
tag,Tag,content
how_to_reg,How To Reg,content
shield,Shield,content
access_alarms,Access Alarms,device
data_saver_off,Data Saver Off,device
battery_6_bar,Battery 6 Bar,device
media_bluetooth_on,Media Bluetooth On,device
system_security_update_warning,System Security Update Warning,device
signal_cellular_alt_2_bar,Signal Cellular Alt 2 Bar,device
signal_cellular_no_sim,Signal Cellular No Sim,device
signal_wifi_2_bar_lock,Signal Wifi 2 Bar Lock,device
mobile_off,Mobile Off,device
battery_charging_20,Battery Charging 20,device
hdr_on_select,Hdr On Select,device
ad_units,Ad Units,device
signal_cellular_connected_no_internet_1_bar,Signal Cellular Connected No Internet 1 Bar,device
wifi_calling_2,Wifi Calling 2,device
security_update,Security Update,device
splitscreen,Splitscreen,device
grid_4x4,Grid 4x4,device
monitor_weight,Monitor Weight,device
wifi_calling_1,Wifi Calling 1,device
wifi_tethering_error,Wifi Tethering Error,device
wifi_2_bar,Wifi 2 Bar,device
signal_wifi_statusbar_connected_no_internet_3,Signal Wifi Statusbar Connected No Internet 3,device
flashlight_on,Flashlight On,device
pattern,Pattern,device
punch_clock,Punch Clock,device
devices_fold,Devices Fold,device
signal_cellular_alt_1_bar,Signal Cellular Alt 1 Bar,device
sim_card_download,Sim Card Download,device
gps_off,Gps Off,device
signal_wifi_connected_no_internet_3,Signal Wifi Connected No Internet 3,device
signal_cellular_connected_no_internet_0_bar,Signal Cellular Connected No Internet 0 Bar,device
access_alarm,Access Alarm,device
timer_10_select,Timer 10 Select,device
bluetooth_connected,Bluetooth Connected,device
signal_cellular_nodata,Signal Cellular Nodata,device
reset_tv,Reset Tv,device
signal_cellular_null,Signal Cellular Null,device
g_mobiledata,G Mobiledata,device
storm,Storm,device
sports_score,Sports Score,device
discount,Discount,device
battery_unknown,Battery Unknown,device
battery_20,Battery 20,device
airplane_ticket,Airplane Ticket,device
cameraswitch,Cameraswitch,device
medication_liquid,Medication Liquid,device
pin,Pin,device
battery_80,Battery 80,device
send_to_mobile,Send To Mobile,device
sell,Sell,device
battery_charging_80,Battery Charging 80,device
bluetooth_disabled,Bluetooth Disabled,device
widgets,Widgets,device
signal_wifi_1_bar,Signal Wifi 1 Bar,device
nightlight,Nightlight,device
brightness_medium,Brightness Medium,device
battery_charging_60,Battery Charging 60,device
shortcut,Shortcut,device
task,Task,device
wifi_tethering_off,Wifi Tethering Off,device
30fps,30fps,device
signal_wifi_statusbar_connected_no_internet_4,Signal Wifi Statusbar Connected No Internet 4,device
mode_night,Mode Night,device
nearby_error,Nearby Error,device
battery_charging_30,Battery Charging 30,device
signal_wifi_3_bar,Signal Wifi 3 Bar,device
hdr_auto,Hdr Auto,device
signal_wifi_4_bar,Signal Wifi 4 Bar,device
airplanemode_inactive,Airplanemode Inactive,device
network_wifi,Network Wifi,device
4g_plus_mobiledata,4g Plus Mobiledata,device
lan,Lan,device
signal_cellular_off,Signal Cellular Off,device
wifi_find,Wifi Find,device
signal_cellular_connected_no_internet_2_bar,Signal Cellular Connected No Internet 2 Bar,device
usb,Usb,device
device_thermostat,Device Thermostat,device
password,Password,device
quiz,Quiz,device
bluetooth_drive,Bluetooth Drive,device
signal_wifi_2_bar,Signal Wifi 2 Bar,device
ssid_chart,Ssid Chart,device
security_update_good,Security Update Good,device
add_alarm,Add Alarm,device
gpp_bad,Gpp Bad,device
grid_goldenratio,Grid Goldenratio,device
battery_saver,Battery Saver,device
bluetooth,Bluetooth,device
60fps,60fps,device
rsvp,Rsvp,device
signal_wifi_statusbar_1_bar,Signal Wifi Statusbar 1 Bar,device
wifi_password,Wifi Password,device
