file_id,lob,region,cust_id,created,uid,s3_location
0,lob1,us-west,8555632908,2020-07-23 21:55:36.587912,obhd,s3://bucket/prefix/367a3ab9-2b5a-4997-804b-8cea2d32b2e5.mp3
1,lob2,us-west,7221348949,2020-07-23 21:55:36.587958,x62d,s3://bucket/prefix/1bb77dfa-8576-4f0c-a96a-027ac646b631.mp3
2,lob1,us-central,4218789251,2020-07-23 21:55:36.588151,oxjd,s3://bucket/prefix/edf7ea24-0287-4836-b286-fa769734d0a7.mp3
3,lob2,us-central,2473658569,2020-07-23 21:55:36.588178,33nd,s3://bucket/prefix/8e7ae1ff-5b45-438e-ac09-23f30f3f63e2.mp3
4,lob1,us-central,3667278745,2020-07-23 21:55:36.588200,a1td,s3://bucket/prefix/f80cf03c-4deb-4e65-9604-6e9ded2d1b68.mp3
5,lob1,us-west,4473779485,2020-07-23 21:55:36.588221,9sud,s3://bucket/prefix/d9b6ffd0-3429-43d2-b706-5048d3f71d44.mp3
6,lob2,us-east,8566149224,2020-07-23 21:55:36.588242,sknd,s3://bucket/prefix/bba7bcab-3e7c-4a1a-aa3e-f902596206c2.mp3
7,lob2,us-central,6901769254,2020-07-23 21:55:36.588265,go9d,s3://bucket/prefix/97d69f95-f230-49b9-871c-d5b80ece81b3.mp3
8,lob1,us-east,4419111582,2020-07-23 21:55:36.588286,r9od,s3://bucket/prefix/84194702-9f50-4d60-bc1f-093f3f36a4a5.mp3
9,lob2,us-east,7783995817,2020-07-23 21:55:36.588309,48nd,s3://bucket/prefix/4a297996-1ff3-4f47-aef8-58320f73360a.mp3
10,lob1,us-central,1830316305,2020-07-23 21:55:36.588331,zmmd,s3://bucket/prefix/f1ad29d5-5552-4812-98fa-038095929cc7.mp3
11,lob1,us-east,835908094,2020-07-23 21:55:36.588352,knkd,s3://bucket/prefix/983f0954-369d-46f6-970c-402a9122265d.mp3
12,lob2,us-central,7574796681,2020-07-23 21:55:36.588374,ibmd,s3://bucket/prefix/a368f412-c833-4402-bef2-97565194ffe4.mp3
13,lob2,us-west,7855303313,2020-07-23 21:55:36.588396,272d,s3://bucket/prefix/ff6db6c0-368c-4ce5-b774-7597e0d2a18b.mp3
14,lob1,us-east,6842976254,2020-07-23 21:55:36.588418,lotd,s3://bucket/prefix/a683c6de-0b50-44d1-a41e-40defd49fb9d.mp3
15,lob2,us-west,1874508781,2020-07-23 21:55:36.588557,4a3d,s3://bucket/prefix/70a27e47-95bf-44ff-a87c-28a3a99fdfa3.mp3
16,lob2,us-central,5834424204,2020-07-23 21:55:36.588584,ueid,s3://bucket/prefix/cce27993-3c06-40f2-881d-deae95b1782a.mp3
17,lob1,us-east,6288350451,2020-07-23 21:55:36.588879,jo3d,s3://bucket/prefix/37128e27-cb3c-4f5b-9cde-93d9a545d917.mp3
18,lob1,us-east,7445200864,2020-07-23 21:55:36.588906,tnud,s3://bucket/prefix/33343b02-9e82-4273-be77-740fc683697f.mp3
19,lob2,us-central,1061756445,2020-07-23 21:55:36.588928,a1zd,s3://bucket/prefix/4b199937-776b-41c9-82a3-98362d055608.mp3
20,lob1,us-central,4502677387,2020-07-23 21:55:36.588951,b34d,s3://bucket/prefix/9db587b1-2c4e-4cb9-9d71-89b2ee75192c.mp3
21,lob2,us-west,4450645174,2020-07-23 21:55:36.588976,j9yd,s3://bucket/prefix/5dc76a85-acc1-4e7c-8d07-001a558c730e.mp3
22,lob1,us-central,193340673,2020-07-23 21:55:36.588997,r3gd,s3://bucket/prefix/0301ef72-363b-44fd-aeb4-229d9a594a73.mp3
23,lob1,us-west,8081304915,2020-07-23 21:55:36.589019,7lkd,s3://bucket/prefix/86687b38-a888-413b-b50d-5fe106d59140.mp3
24,lob2,us-east,7208969498,2020-07-23 21:55:36.589039,03vd,s3://bucket/prefix/fa0ddc3a-6579-4d37-9f59-7a4d663aaff1.mp3
25,lob1,us-central,6516513846,2020-07-23 21:55:36.589061,28jd,s3://bucket/prefix/0b8e4d77-073f-4a31-b0c4-209afce11d57.mp3
