link,stars,forks
[Open WebUI](https://github.com/open-webui/open-webui),22671,2345
[Enchanted (macOS native)](https://github.com/AugustDev/enchanted),1759,119
[Hollama](https://github.com/fmaclen/hollama),18,1
[Lollms-Webui](https://github.com/ParisNeo/lollms-webui),3899,493
[LibreChat](https://github.com/danny-avila/LibreChat),11811,2109
[Bionic GPT](https://github.com/bionic-gpt/bionic-gpt),1628,155
[HTML UI](https://github.com/rtcfirefly/ollama-ui),579,94
[Saddle](https://github.com/jikkuatwork/saddle),44,2
[Chatbot UI](https://github.com/ivanfioravanti/chatbot-ollama),1190,187
[Chatbot UI v2](https://github.com/mckaywrigley/chatbot-ui),26650,7352
[Typescript UI](https://github.com/ollama-interface/Ollama-Gui?tab=readme-ov-file),240,44
[Minimalistic React UI for Ollama Models](https://github.com/richawo/minimal-llm-ui),202,34
[Ollamac](https://github.com/kevinhermawan/Ollamac),891,45
[big-AGI](https://github.com/enricoros/big-AGI/blob/main/docs/config-local-ollama.md),4450,1017
[Cheshire Cat assistant framework](https://github.com/cheshire-cat-ai/core),2012,259
[Amica](https://github.com/semperai/amica),542,81
[chatd](https://github.com/BruceMacD/chatd),815,52
[Ollama-SwiftUI](https://github.com/kghandour/Ollama-SwiftUI),184,21
[Dify.AI](https://github.com/langgenius/dify),30086,3915
[NextJS Web Interface for Ollama](https://github.com/jakobhoeg/nextjs-ollama-llm-ui),416,77
[Chatbox](https://github.com/Bin-Huang/Chatbox),18941,1941
[WinForm Ollama Copilot](https://github.com/tgraupmann/WinForm_Ollama_Copilot),53,8
[NextChat](https://github.com/ChatGPTNextWeb/ChatGPT-Next-Web),70139,56227
[Alpaca WebUI](https://github.com/mmo80/alpaca-webui),19,4
[OllamaGUI](https://github.com/enoch1118/ollamaGUI),23,1
[OpenAOE](https://github.com/InternLM/OpenAOE),170,10
[Odin Runes](https://github.com/leonid20000/OdinRunes),57,4
[LLM-X](https://github.com/mrdjohnson/llm-x),80,7
[AnythingLLM (Docker + MacOs/Windows/Linux native app)](https://github.com/Mintplex-Labs/anything-llm),14484,1499
[Ollama Basic Chat: Uses HyperDiv Reactive UI](https://github.com/rapidarchitect/ollama_basic_chat),4,1
[Ollama-chats RPG](https://github.com/drazdra/ollama-chats),38,10
[QA-Pilot](https://github.com/reid41/QA-Pilot),37,7
[ChatOllama](https://github.com/sugarforever/chat-ollama),2047,326
[CRAG Ollama Chat](https://github.com/Nagi-ovo/CRAG-Ollama-Chat),38,3
[RAGFlow](https://github.com/infiniflow/ragflow),7728,694
[StreamDeploy](https://github.com/StreamDeploy-DevRel/streamdeploy-llm-app-scaffold),5,3
[chat](https://github.com/swuecho/chat),483,85
[Lobe Chat](https://github.com/lobehub/lobe-chat),31349,7350
[macai](https://github.com/Renset/macai),66,8
