NAME                        ID              SIZE      MODIFIED     
gemma2:2b                   8ccf136fdd52    1.6 GB    7 weeks ago     
codegemma:latest            0c96700aaada    5.0 GB    7 weeks ago     
mistral:latest              f974a74358d6    4.1 GB    7 weeks ago     
phi3:14b                    cf611a26b048    7.9 GB    7 weeks ago     
phi3:latest                 4f2222927938    2.2 GB    7 weeks ago     
mistral-nemo:latest         4b300b8c6a97    7.1 GB    7 weeks ago     
gemma2:latest               ff02c3702f32    5.4 GB    7 weeks ago     
llama3.1:latest             62757c860e01    4.7 GB    7 weeks ago        
gemma:latest                a72c7f4d0a15    5.0 GB    2 months ago    
llama3:latest               365c0bd3c000    4.7 GB    2 months ago    
qwen2:latest                e0d4e1163c58    4.4 GB    3 months ago    
qwen2:7b                    e0d4e1163c58    4.4 GB    3 months ago    
aya:latest                  7ef8c4942023    4.8 GB    3 months ago    
gemma:7b                    430ed3535049    5.2 GB    5 months ago    
gemma:2b                    b50d6c999e59    1.7 GB    5 months ago    
openchat:latest             537a4e03b649    4.1 GB    6 months ago    
neural-chat:latest          89fa737d3b85    4.1 GB    6 months ago    
mistral-openorca:latest     12dc6acc14d0    4.1 GB    6 months ago    
