id,question,content,training_data_type
12dd59f0-d021-5c6d-a453-190e908eae78-sql,List all invoices with a total exceeding $10,"SELECT InvoiceId, CustomerId, InvoiceDate, Total
FROM invoices 
WHERE Total > 10
ORDER BY Total DESC LIMIT 20",sql
239975a3-a817-5e85-bf5c-da2a315545ec-sql,List all customers from Canada and their email addresses:,"SELECT FirstName, LastName, Email
FROM customers
WHERE Country = 'Canada'
ORDER BY LastName, FirstName LIMIT 20",sql
3b38f7cc-48b3-5679-86f7-ccd7d00ef1c2-sql,"      
        Find the top 5 customers who bought the most albums in total quantity (across all invoices):
        Hint: album quantity is found in invoice_items, 
    ","SELECT c.CustomerId, 
       c.FirstName, 
       c.LastName, 
       SUM(ii.Quantity) as total_albums_bought
FROM customers c
JOIN invoices i ON c.CustomerId = i.CustomerId
JOIN invoice_items ii ON i.InvoiceId = ii.InvoiceId
GROUP BY c.CustomerId, c.FirstName, c.LastName
ORDER BY total_albums_bought DESC
LIMIT 5",sql
3ed67005-3b35-5b85-85a5-a0256ecb4b33-sql,List all genres and the number of tracks in each genre:,"SELECT g.Name as genre_name, 
       COUNT(t.TrackId) as track_count
FROM genres g
LEFT JOIN tracks t ON g.GenreId = t.GenreId
GROUP BY g.GenreId, g.Name
ORDER BY track_count DESC LIMIT 20",sql
411d1ca7-609d-5ae7-ae0c-f9d618c51479-sql,List all albums and their corresponding artist names  ,"SELECT a.Title as album_title, ar.Name as artist_name 
FROM albums a 
JOIN artists ar ON a.ArtistId = ar.ArtistId LIMIT 20",sql
45ec8642-c9df-5f7c-9db7-a3e49ffeb99b-sql,Find all invoices since 2010 and the total amount invoiced:,"SELECT COUNT(*) as invoice_count, 
       SUM(Total) as total_amount
FROM invoices 
WHERE InvoiceDate >= '2010-01-01' LIMIT 20",sql
623f1c4c-8b2b-5bbf-a7c3-6d8aa4721624-sql,"Find all tracks with a name containing ""What"" (case-insensitive) ","SELECT Name 
FROM tracks 
WHERE UPPER(Name) LIKE '%WHAT%' LIMIT 20",sql
695e5b81-3c5e-5122-8ec5-e8d8835aa99a-sql, Get the average invoice total for each customer:,"SELECT c.CustomerId, 
       c.FirstName, 
       c.LastName, 
       AVG(i.Total) as avg_invoice_total
FROM customers c
LEFT JOIN invoices i ON c.CustomerId = i.CustomerId
GROUP BY c.CustomerId, c.FirstName, c.LastName
ORDER BY avg_invoice_total DESC LIMIT 20",sql
6cd9e404-f70d-5f77-882c-4718fce6ee6c-sql,"
                    Generating SQL for this question: which table stores customer's orders
                    results in the following error: [ERROR-SQL] the generated SQL : The ""invoices"" table stores customer orders in the chinook database, as indicated in the additional context that ""invoice means order"".
 does not starts with ('select','with') .
                    Can you try to fix the error and re-generate the SQL statement?
                ","SELECT 'invoices' as table_name 
FROM sqlite_sequence 
LIMIT 1",sql
6fd13857-bd8b-5214-a162-9a62d2484f30-sql,How many customers are there,"SELECT COUNT(*) 
FROM customers LIMIT 20",sql
