id,question,content,training_data_type
09b5c84c-abca-5731-af61-7d148c5bd42f-sql,Can you list all tables in the SQLite database catalog?,SELECT name FROM sqlite_master WHERE type='table' ORDER BY name LIMIT 20,sql
13b1d5ca-868b-599f-acb0-3828a7d73b08-sql,what are the top 5 countries that customers come from?,"SELECT Country, COUNT(*) AS num_customers
FROM customers
GROUP BY Country
ORDER BY num_customers DESC
LIMIT 5;",sql
2de3d2b1-76ba-5e17-9dc2-4a5338d28f82-sql,Find the total number of invoices per country,"SELECT BillingCountry, COUNT(*) AS total_invoices
FROM invoices
GROUP BY BillingCountry
ORDER BY total_invoices DESC
LIMIT 20",sql
31167446-8e8b-513c-b4ed-8580b76ef474-sql,List all customers from Canada and their email addresses:,"SELECT FirstName, LastName, Email
FROM customers
WHERE Country = 'Canada'
ORDER BY LastName
LIMIT 20",sql
41652867-81ab-5dd8-a0a1-f72be16a4771-sql,Get the total number of invoices for each customer,"SELECT c.CustomerId, c.FirstName, c.LastName, COUNT(i.InvoiceId) AS total_invoices
FROM customers c
LEFT JOIN invoices i ON c.CustomerId = i.CustomerId
GROUP BY c.CustomerId
ORDER BY total_invoices DESC
LIMIT 20",sql
4ca2e961-4848-5752-878f-cdcfefedd58a-sql,List all invoices with a total exceeding $10,"SELECT *
FROM invoices
WHERE Total > 10
ORDER BY Total DESC
LIMIT 20",sql
50640395-4988-535d-9f2c-71d97a260ff4-sql,"
                    Generating SQL for this question: 
                    Generating SQL for this question: 
                    Generating SQL for this question: Identify artists who have albums with tracks appearing in multiple genres:
                    results in the following error: [ERROR-SQL] the generated SQL : Error running intermediate SQL: Execution failed on sql '
-- Get distinct genres for each artist
SELECT ar.Name AS Artist, GROUP_CONCAT(DISTINCT g.Name) AS Genres
FROM artists ar
JOIN albums a ON ar.ArtistId = a.ArtistId  
JOIN tracks t ON a.AlbumId = t.AlbumId
JOIN genres g ON t.GenreId = g.GenreId
GROUP BY ar.ArtistId
HAVING COUNT(DISTINCT g.Name) > 1
LIMIT 20': near """": syntax error
 does not starts with ('select','with') .
                    Can you try to fix the error and re-generate the SQL statement?
                
                    results in the following error: [ERROR-SQL] the generated SQL : Error running intermediate SQL: Execution failed on sql '
-- Get distinct genres for each artist
SELECT ar.Name AS Artist, GROUP_CONCAT(DISTINCT g.Name) AS Genres
FROM artists ar
JOIN albums a ON ar.ArtistId = a.ArtistId  
JOIN tracks t ON a.AlbumId = t.AlbumId
JOIN genres g ON t.GenreId = g.GenreId
GROUP BY ar.ArtistId
HAVING COUNT(DISTINCT g.Name) > 1
LIMIT 20': near """": syntax error
 does not starts with ('select','with') .
                    Can you try to fix the error and re-generate the SQL statement?
                
                    results in the following error: [ERROR-SQL] the generated SQL : Error running intermediate SQL: Execution failed on sql '
-- Get distinct genres for each artist
SELECT ar.Name AS Artist, GROUP_CONCAT(DISTINCT g.Name) AS Genres
FROM artists ar
JOIN albums a ON ar.ArtistId = a.ArtistId  
JOIN tracks t ON a.AlbumId = t.AlbumId
JOIN genres g ON t.GenreId = g.GenreId
GROUP BY ar.ArtistId
HAVING COUNT(DISTINCT g.Name) > 1
LIMIT 20': near """": syntax error
 does not starts with ('select','with') .
                    Can you try to fix the error and re-generate the SQL statement?
                ","SELECT ar.Name AS Artist
FROM artists ar
JOIN albums a ON ar.ArtistId = a.ArtistId
JOIN tracks t ON a.AlbumId = t.AlbumId
JOIN genres g ON t.GenreId = g.GenreId
GROUP BY ar.ArtistId
HAVING COUNT(DISTINCT g.GenreId) > 1
LIMIT 20;",sql
5e526ae4-4473-5cc5-9185-b16c465687c0-sql,How many customers are there,SELECT COUNT(*) FROM customers LIMIT 20,sql
5e55fd70-9229-51de-8b11-77dbe95992bb-sql,Find all invoices since 2010 and the total amount invoiced:,"SELECT COUNT(*) AS num_invoices, SUM(Total) AS total_amount
FROM invoices
WHERE InvoiceDate >= '2010-01-01'
LIMIT 20",sql
7167e085-5bf4-5913-b460-7a1024988a1b-sql,List all albums and their corresponding artist names  ,"SELECT a.Title AS Album, ar.Name AS Artist
FROM albums a
JOIN artists ar ON a.ArtistId = ar.ArtistId
ORDER BY Album LIMIT 20",sql
86dda268-05dc-5c46-8bbb-b9efa5dec6f5-sql,Find the customer who bought the most albums in total quantity (across all invoices):,"SELECT c.CustomerId, c.FirstName, c.LastName, SUM(ii.Quantity) AS total_albums
FROM customers c
JOIN invoices i ON c.CustomerId = i.CustomerId
JOIN invoice_items ii ON i.InvoiceId = ii.InvoiceId
JOIN tracks t ON ii.TrackId = t.TrackId
JOIN albums a ON t.AlbumId = a.AlbumId
GROUP BY c.CustomerId
ORDER BY total_albums DESC
LIMIT 1",sql
8b2eeb92-365b-5feb-a155-142bcb0d3130-sql," 
        Can you find the top 10 most popular artists based on the number of tracks?
        Hint: There are 3 tables - artists, albums and tracks, 
        where albums and artists are linked by ArtistId, albums and tracks are linked by AlbumId,
    ","SELECT ar.Name AS Artist, COUNT(t.TrackId) AS NumTracks
FROM artists ar
JOIN albums a ON ar.ArtistId = a.ArtistId
JOIN tracks t ON a.AlbumId = t.AlbumId
GROUP BY ar.ArtistId
ORDER BY NumTracks DESC
LIMIT 10",sql
911c501e-5e53-5775-a1b7-9aa3d33c1e21-sql,List all genres and the number of tracks in each genre:,"SELECT g.Name AS Genre, COUNT(t.TrackId) AS NumTracks
FROM genres g
LEFT JOIN tracks t ON g.GenreId = t.GenreId
GROUP BY g.GenreId
ORDER BY NumTracks DESC
LIMIT 20",sql
