id,question,content,training_data_type
1c37d83d-2aa9-503f-8caf-10b966d572ee-sql,"
                    Generating SQL for this question: Find all invoices since 2010 and the total amount invoiced:
                    results in the following error: [ERROR-DB] Failed to execute SQL: SELECT InvoiceDate, Total
FROM invoices
WHERE InvoiceDate >= '2010-01-01'
ORDER BY InvoiceDate

SELECT SUM(Total) AS TotalAmountInvoiced
FROM invoices
WHERE InvoiceDate >= '2010-01-01' LIMIT 20
 Execution failed on sql 'SELECT InvoiceDate, Total
FROM invoices
WHERE InvoiceDate >= '2010-01-01'
ORDER BY InvoiceDate

SELECT SUM(Total) AS TotalAmountInvoiced
FROM invoices
WHERE InvoiceDate >= '2010-01-01' LIMIT 20': near ""SELECT"": syntax error .
                    Can you try to fix the error and re-generate the SQL statement?
                ","SELECT SUM(Total) AS TotalAmountInvoiced
FROM invoices
WHERE InvoiceDate >= '2010-01-01' LIMIT 20",sql
239fbea8-01dd-5090-a024-c57754a7330f-sql,How many customers are there,"SELECT COUNT(CustomerId) AS TotalCustomers
FROM customers LIMIT 20",sql
359131a3-86c4-5ed9-8798-de203b4c00e0-sql,List all customers from Canada and their email addresses:,"SELECT FirstName, LastName, Email
FROM customers
WHERE Country = 'Canada' LIMIT 20",sql
47dbe44d-6353-5d4e-a88b-ae6ad8ab0faa-sql," 
        Can you find the top 10 most popular artists based on the number of tracks?
        Hint: There are 3 tables - artists, albums and tracks, 
        where albums and artists are linked by ArtistId, albums and tracks are linked by AlbumId,
    ","SELECT ar.Name AS ArtistName, COUNT(t.TrackId) AS TrackCount
FROM artists ar
JOIN albums al ON ar.ArtistId = al.ArtistId
JOIN tracks t ON al.AlbumId = t.AlbumId
GROUP BY ar.ArtistId
ORDER BY TrackCount DESC
LIMIT 10;",sql
4be9ad5e-72f7-55fe-9982-79524c3f1729-sql,Identify artists who have albums with tracks appearing in multiple genres:,"SELECT DISTINCT ar.Name AS ArtistName
FROM artists ar
JOIN albums al ON ar.ArtistId = al.ArtistId
JOIN tracks t ON al.AlbumId = t.AlbumId
GROUP BY ar.ArtistId, t.Name
HAVING COUNT(DISTINCT t.GenreId) > 1 LIMIT 20",sql
4c945fb6-ccc4-5f9a-8b1b-021ec053489a-sql,what are the top 5 countries that customers come from?,"SELECT Country, COUNT(CustomerId) AS CustomerCount
FROM customers
GROUP BY Country
ORDER BY CustomerCount DESC
LIMIT 5;",sql
60b5d98e-52a5-5383-b6cc-bc11886b2a70-sql,Get all playlists containing at least 10 tracks and the total duration of those tracks:,"SELECT p.Name AS PlaylistName, COUNT(pt.TrackId) AS TrackCount, SUM(t.Milliseconds) AS TotalDuration
FROM playlists p
JOIN playlist_track pt ON p.PlaylistId = pt.PlaylistId
JOIN tracks t ON pt.TrackId = t.TrackId
GROUP BY p.PlaylistId
HAVING TrackCount >= 10
LIMIT 20",sql
74140ebf-9f30-5c2a-93ea-2869ae4d5508-sql,Find the customer who bought the most albums in total quantity (across all invoices):,"SELECT c.CustomerId, c.FirstName, c.LastName, SUM(ii.Quantity) AS TotalAlbumsBought
FROM customers c
JOIN invoices i ON c.CustomerId = i.CustomerId
JOIN invoice_items ii ON i.InvoiceId = ii.InvoiceId
JOIN tracks t ON ii.TrackId = t.TrackId
WHERE t.AlbumId IS NOT NULL
GROUP BY c.CustomerId, c.FirstName, c.LastName
ORDER BY TotalAlbumsBought DESC
LIMIT 1",sql
770a143c-29be-58cc-ab78-cb5ee3d1d72f-sql,Find the total number of invoices per country,"SELECT c.Country, COUNT(i.InvoiceId) AS TotalInvoices
FROM customers c
JOIN invoices i ON c.CustomerId = i.CustomerId
GROUP BY c.Country
ORDER BY TotalInvoices DESC LIMIT 20",sql
7ac1fe1f-fbca-5253-a91a-779c089778db-sql, Get the average invoice total for each customer:,"SELECT CustomerId, AVG(Total) AS AvgInvoiceTotal
FROM invoices
GROUP BY CustomerId
LIMIT 20",sql
