id,question,content,training_data_type
039b490a-6b1c-59b0-bf59-4dabace53c75-sql,List all customers from Canada and their email addresses:,"SELECT FirstName, LastName, Email 
FROM customers 
WHERE Country = 'Canada' 
LIMIT 20",sql
09244fbf-7b47-5bea-a3fc-e419c20e4366-sql,Find the top 5 most expensive tracks (based on unit price):,"SELECT * 
FROM tracks 
ORDER BY UnitPrice DESC 
LIMIT 5",sql
0eb0b1cb-152c-5c2c-9235-491007a9fcb6-sql,"      
        Find the top 5 customers who bought the most albums in total quantity (across all invoices):
        Hint: album quantity is found in invoice_items, 
    ","SELECT i.CustomerId, SUM(ii.Quantity) as TotalQuantity
FROM invoice_items ii
JOIN invoices i ON ii.InvoiceId = i.InvoiceId
GROUP BY i.CustomerId
ORDER BY TotalQuantity DESC
LIMIT 5",sql
2b65c1c4-ff74-5b15-be07-143d624f990a-sql, Get the average invoice total for each customer:,"SELECT CustomerId, AVG(Total) as AverageInvoiceTotal 
FROM invoices 
GROUP BY CustomerId 
LIMIT 20",sql
2d7363bf-ba0a-57de-ade1-db647d6264a3-sql,"Find all tracks with a name containing ""What"" (case-insensitive) ","SELECT * 
FROM tracks 
WHERE Name LIKE '%What%' 
COLLATE NOCASE
LIMIT 20",sql
3e2b0f53-fa5a-5065-ab3e-264a2f53b80b-sql,Get all playlists containing at least 10 tracks and the total duration of those tracks:,"SELECT p.PlaylistId, p.Name, COUNT(pt.TrackId) as NumberOfTracks, SUM(t.Milliseconds) as TotalDuration
FROM playlists p
JOIN playlist_track pt ON p.PlaylistId = pt.PlaylistId
JOIN tracks t ON pt.TrackId = t.TrackId
GROUP BY p.PlaylistId, p.Name
HAVING COUNT(pt.TrackId) >= 10
LIMIT 20",sql
50bbc8c8-d201-5c9a-bca7-8fa8f7c5e1d7-sql,Find all invoices since 2010 and the total amount invoiced:,"SELECT InvoiceDate, SUM(Total) as TotalAmount
FROM invoices
WHERE InvoiceDate >= '2010-01-01'
GROUP BY InvoiceDate
LIMIT 20",sql
55ba17ae-bd10-58ef-ab2f-35afebdf9013-sql,List all employees and their reporting manager's name (if any):,"SELECT e1.FirstName || ' ' || e1.LastName AS EmployeeName, 
       e2.FirstName || ' ' || e2.LastName AS ManagerName
FROM employees e1
LEFT JOIN employees e2 ON e1.ReportsTo = e2.EmployeeId
LIMIT 20",sql
5c21a5d8-4c12-5705-8fed-5d9584d401e4-sql,"
                    Generating SQL for this question: 
                    Generating SQL for this question: which table stores customer's orders
                    results in the following error: [ERROR-SQL] the generated SQL : The customer's orders are stored in the ""invoices"" table.
 does not starts with ('select','with') .
                    Can you try to fix the error and re-generate the SQL statement?
                
                    results in the following error: [ERROR-SQL] the generated SQL : The customer's orders are stored in the ""invoices"" table.
 does not starts with ('select','with') .
                    Can you try to fix the error and re-generate the SQL statement?
                ",SELECT * FROM invoices LIMIT 20,sql
5e526ae4-4473-5cc5-9185-b16c465687c0-sql,How many customers are there,SELECT COUNT(*) FROM customers LIMIT 20,sql
6d691763-c407-54ab-b6ff-507b6a4522a8-sql,Find the customer with the most invoices ,"SELECT CustomerId, COUNT(*) as NumberOfInvoices 
FROM invoices 
GROUP BY CustomerId 
ORDER BY NumberOfInvoices DESC 
LIMIT 1",sql
71b893f0-3fd1-5cfb-8967-ce76db7b8231-sql,Find the total number of invoices per country,"SELECT c.Country, COUNT(*) as NumberOfInvoices 
FROM invoices i
JOIN customers c ON i.CustomerId = c.CustomerId
GROUP BY c.Country 
LIMIT 20",sql
76922778-a648-5a4c-8516-7828263fde77-sql,List all albums and their corresponding artist names  ,"SELECT a.Title AS Album, ar.Name AS Artist
FROM albums a
JOIN artists ar ON a.ArtistId = ar.ArtistId
LIMIT 20",sql
791ffcb1-04bc-58be-9221-205009ca149d-sql,Find the customer who bought the most albums in total quantity (across all invoices):,"SELECT i.CustomerId, SUM(ii.Quantity) as TotalQuantity
FROM invoice_items ii
JOIN invoices i ON ii.InvoiceId = i.InvoiceId
GROUP BY i.CustomerId
ORDER BY TotalQuantity DESC
LIMIT 1",sql
9f52b00e-4ebd-5eda-b218-51645a2fbdc1-sql,Can you list all tables in the SQLite database catalog?,SELECT name FROM sqlite_master WHERE type='table' LIMIT 20,sql
c36b4f4c-2548-5112-a1d8-fa5c58684541-sql,what are the top 5 countries that customers come from?,"SELECT Country, COUNT(*) as NumberOfCustomers 
FROM customers 
GROUP BY Country 
ORDER BY NumberOfCustomers DESC 
LIMIT 5",sql
c38050ee-835b-58ac-88a0-f4425ae89891-sql," 
        Can you find the top 10 most popular artists based on the number of tracks?
        Hint: There are 3 tables - artists, albums and tracks, 
        where albums and artists are linked by ArtistId, albums and tracks are linked by AlbumId,
    ","SELECT ar.Name as Artist, COUNT(*) as NumberOfTracks
FROM tracks t
JOIN albums a ON t.AlbumId = a.AlbumId
JOIN artists ar ON a.ArtistId = ar.ArtistId
GROUP BY ar.Name
ORDER BY NumberOfTracks DESC
LIMIT 10",sql
eec02d0d-e944-55b9-a339-909278777ab9-sql,"  
         Find the top 5 customers who spent the most money overall,  
         Hint: order total can be found on invoices table, calculation using invoice_items detail table is unnecessary 
    ","SELECT CustomerId, SUM(Total) as TotalSpent
FROM invoices
GROUP BY CustomerId
ORDER BY TotalSpent DESC
LIMIT 5",sql
