id,question,content,training_data_type
009bf61c-d0ff-5f7c-a2e7-d57c799d1eab-sql,Get all playlists containing at least 10 tracks and the total duration of those tracks:,"SELECT p.Name, SUM(t.Milliseconds) AS TotalDuration FROM playlists p JOIN playlist_track pt ON p.PlaylistId = pt.PlaylistId JOIN tracks t ON pt.TrackId = t.TrackId GROUP BY p.PlaylistId HAVING COUNT(*) >= 10",sql
035adf66-5dd5-54e2-8b30-d686575bab5a-sql,Find the customer who bought the most albums in total quantity (across all invoices):,"SELECT customers.FirstName, customers.LastName, COUNT(*) as TotalAlbums FROM invoices i JOIN invoice_items ii ON i.InvoiceId = ii.InvoiceId JOIN tracks t ON ii.TrackId = t.TrackId JOIN customers ON i.CustomerId = customers.CustomerId GROUP BY customers.CustomerId ORDER BY TotalAlbums DESC LIMIT 1
",sql
03f99f37-c284-5b38-8d5f-cd1932056340-sql,"  
         Find the top 5 customers who spent the most money overall,  
         Hint: order total can be found on invoices table, calculation using invoice_items detail table is unnecessary 
    ","SELECT c.FirstName, c.LastName, SUM(i.Total) AS TotalSpent FROM invoices i JOIN customers c ON i.CustomerId = c.CustomerId GROUP BY c.CustomerId ORDER BY TotalSpent DESC LIMIT 5

",sql
084a87fa-5a36-5307-94a4-d79eaaf3cfd3-sql,"Find all tracks with a name containing ""What"" (case-insensitive) ","SELECT DISTINCT Name FROM tracks INTERSECT SELECT DISTINCT Name FROM tracks WHERE Name LIKE '%what%'

",sql
2175334e-c71f-526b-a66d-96dcb955cd1e-sql,List all albums and their corresponding artist names  ,"SELECT Title, Name FROM albums LEFT JOIN artists ON albums.ArtistId = artists.ArtistId",sql
2eeb376b-1351-5c4c-a2ec-ff1089200d34-sql," 
        Can you find the top 10 most popular artists based on the number of tracks?
        Hint: There are 3 tables - artists, albums and tracks, 
        where albums and artists are linked by ArtistId, albums and tracks are linked by AlbumId,
    ","SELECT a.Name AS ArtistName, COUNT(t.TrackId) AS TrackCount FROM tracks t JOIN albums al ON t.AlbumId = al.AlbumId JOIN artists a ON al.ArtistId = a.ArtistId GROUP BY a.ArtistId ORDER BY TrackCount DESC LIMIT 10
",sql
3006b4c1-35bc-5340-8bd7-c4e6e2f64ea0-sql,Find the top 5 most expensive tracks (based on unit price):,"SELECT * FROM tracks ORDER BY UnitPrice DESC LIMIT 5

",sql
3728e0a3-80ac-5203-9927-76e8b11eafe3-sql,Find all invoices since 2010 and the total amount invoiced:,"SELECT InvoiceId, Total, InvoiceDate FROM invoices WHERE strftime('%Y',InvoiceDate) > '2010'
",sql
3e6fc290-4d5a-5919-8727-2b0f057bb222-sql,"
            For this question: which table stores customer's orders, 
            your generated SQL statement: The `invoices` table stores customer's orders. results in the following exception: [ERROR-SQL] the generated SQL : The `invoices` table stores customer's orders.
 does not starts with ('select','with') .
            Can you please fix the error and re-generate the SQL statement?
        ",SELECT name FROM sqlite_master WHERE type='table',sql
4e54f2b6-0830-5ae2-8d3a-56039d453b86-sql,List all customers from Canada and their email addresses:,SELECT * FROM customers WHERE Country = 'Canada',sql
