id,question,content,training_data_type
1d7747b2-4595-50e7-aba6-e9977afc4481-sql,List all genres and the number of tracks in each genre:," 
SELECT g.Name AS GenreName, COUNT(t.TrackId) AS NumberOfTracks
FROM genres g
LEFT JOIN tracks t ON g.GenreId = t.GenreId
GROUP BY g.GenreId",sql
1fab2c67-0737-56ab-b3f1-33202750520a-sql,Find the top 5 most expensive tracks (based on unit price):," SELECT Name, UnitPrice
FROM tracks
ORDER BY UnitPrice DESC
LIMIT 5",sql
2057af51-0925-581d-aad4-e1c8fa6b02de-sql,Find the customer who bought the most albums in total quantity (across all invoices):,"  SELECT c.CustomerId, c.FirstName, c.LastName, SUM(ii.Quantity) AS TotalAlbumQuantity
FROM customers c
JOIN invoices i ON c.CustomerId = i.CustomerId
JOIN invoice_items ii ON i.InvoiceId = ii.InvoiceId
GROUP BY c.CustomerId
ORDER BY TotalAlbumQuantity DESC
LIMIT 1",sql
2e2c32b7-40e9-5f31-975e-f70304ca85be-sql," 
        Can you find the top 10 most popular artists based on the number of tracks?
        Hint: There are 3 tables - artists, albums and tracks, 
        where albums and artists are linked by ArtistId, albums and tracks are linked by AlbumId,
    "," SELECT a.ArtistId, a.Name AS ArtistName, COUNT(t.TrackId) AS NumberOfTracks
FROM artists a
JOIN albums al ON a.ArtistId = al.ArtistId
JOIN tracks t ON al.AlbumId = t.AlbumId
GROUP BY a.ArtistId
ORDER BY NumberOfTracks DESC
LIMIT 10",sql
30dadc3c-1c94-52c5-a81e-4970d8d4c0cd-sql,Get all playlists containing at least 10 tracks and the total duration of those tracks:,"SELECT p.PlaylistId, COUNT(pt.TrackId) AS TrackCount
FROM playlists p
JOIN playlist_track pt ON p.PlaylistId = pt.PlaylistId
GROUP BY p.PlaylistId
HAVING TrackCount >= 10",sql
36d67a5d-4f89-5592-a61a-d8a768bcf02c-sql, Get the average invoice total for each customer:," SELECT CustomerId, AVG(Total) AS AverageInvoiceTotal
FROM invoices
GROUP BY CustomerId",sql
3c42c397-fe40-5629-ba95-4c8764b87790-sql,"Find all tracks with a name containing ""What"" (case-insensitive) "," SELECT * FROM tracks
WHERE LOWER(Name) LIKE '%what%'",sql
5610475a-bbee-5f6a-bb08-7987a50220a7-sql,List all albums and their corresponding artist names  ,"SELECT a.Title AS AlbumTitle, ar.Name AS ArtistName
FROM albums a
JOIN artists ar ON a.ArtistId = ar.ArtistId",sql
59ee3f97-0080-5db6-b709-b94fb9308167-sql,Find the total number of invoices per country," SELECT BillingCountry, COUNT(*) AS TotalInvoices
FROM invoices
GROUP BY BillingCountry",sql
5f93b5e8-549d-5c06-bf3f-22f32f65b1c5-sql,"
        For the question what are the top 5 countries that customers come from?, 
        the generated SQL statement  SELECT BillingCountry, COUNT(*) AS CustomerCount
FROM customers
GROUP BY BillingCountry
ORDER BY CustomerCount DESC
LIMIT 5 results in the following exception [ERROR-DB] Failed to execute SQL:  SELECT BillingCountry, COUNT(*) AS CustomerCount
FROM customers
GROUP BY BillingCountry
ORDER BY CustomerCount DESC
LIMIT 5
 Execution failed on sql ' SELECT BillingCountry, COUNT(*) AS CustomerCount
FROM customers
GROUP BY BillingCountry
ORDER BY CustomerCount DESC
LIMIT 5': no such column: BillingCountry .
        Please fix the error and re-generate the SQL
        ","SELECT country AS Top5Countries, COUNT(*) AS CustomerCount
FROM customers
GROUP BY country
ORDER BY CustomerCount DESC
LIMIT 5",sql
6cc1928a-0b0d-50fc-ba2a-dde846107b62-sql,List all customers from Canada and their email addresses:," SELECT Email, Country
FROM customers
WHERE Country = 'Canada'",sql
775fdf5b-53e2-5745-84bc-63630da0a97f-sql,"      
        Find the top 5 customers who bought the most albums in total quantity (across all invoices):
        Hint: album quantity is found in invoice_items, 
    ","  SELECT c.CustomerId, c.FirstName, c.LastName, SUM(ii.Quantity) AS TotalAlbumQuantity
FROM customers c
JOIN invoices i ON c.CustomerId = i.CustomerId
JOIN invoice_items ii ON i.InvoiceId = ii.InvoiceId
GROUP BY c.CustomerId
ORDER BY TotalAlbumQuantity DESC
LIMIT 5",sql
93714b9a-4334-59c0-98f7-72176ee7e8de-sql,List all invoices with a total exceeding $10, SELECT * FROM invoices WHERE Total > 10,sql
9d3783c1-033a-5da3-883a-ec56055dc429-sql,Find all invoices since 2010 and the total amount invoiced:,"SELECT InvoiceId, CustomerId, InvoiceDate, Total
FROM invoices
WHERE InvoiceDate >= '2010-01-01'",sql
a6c6b2ef-cd65-5043-a9f4-7e650a0c1d9a-sql,Get the total number of invoices for each customer," SELECT CustomerId, COUNT(*) AS TotalInvoices
FROM invoices
GROUP BY CustomerId",sql
bd7cc9b7-821c-5148-a945-76b1d324c36e-sql,List all employees and their reporting manager's name (if any):,"SELECT e.FirstName, e.LastName, m.FirstName AS ManagerFirstName, m.LastName AS ManagerLastName
FROM employees e
LEFT JOIN employees m ON e.ReportsTo = m.EmployeeId",sql
d5b91961-7241-5060-8059-5f7132d57713-sql,which table stores customer's orders,"SELECT DISTINCT InvoiceId, CustomerId, InvoiceDate, BillingAddress, BillingCity, BillingState, BillingCountry, BillingPostalCode, Total
FROM invoices",sql
d8a2f948-dffa-5524-a5f9-174cc1a8da73-sql,Can you list all tables in the SQLite database catalog?,SELECT name FROM sqlite_master WHERE type='table',sql
