id,question,content,training_data_type
04a2068e-b7a5-54ce-9269-4fd9b73f337f-sql,List all albums and their corresponding artist names  ,"SELECT Album.Title AS AlbumTitle, Artist.Name AS ArtistName
FROM Album
JOIN Artist ON Album.ArtistId = Artist.ArtistId",sql
19decd16-b8f9-5fb2-ba6e-238ce8b76c06-sql,"
                For this question: which table stores customer's orders, 
                your generated SQL statement:  The `Invoice` table stores customer's orders. results in the following exception: [ERROR-SQL] the generated SQL :  The `Invoice` table stores customer's orders.
 does not starts with ('select','with') .
                Can you please fix the error and re-generate the SQL statement?
            ",SELECT name FROM sqlite_master WHERE type='table',sql
392c8b16-e321-5fe7-a914-7adf3a75a002-sql,what are the top 5 countries that customers come from?,"SELECT Country, COUNT(*) AS CustomerCount
FROM Customer
GROUP BY Country
ORDER BY CustomerCount DESC
LIMIT 5",sql
bd5c3bb4-fc60-507f-af02-28a130bf177c-sql,How many customers are there,SELECT COUNT(*) AS NumberOfCustomers FROM Customer,sql
cf732417-47dd-5588-8216-3791c594a6b2-sql,"Find all tracks with a name containing ""What"" (case-insensitive) ","SELECT * FROM Track
WHERE LOWER(Name) LIKE '%what%'",sql
d8a2f948-dffa-5524-a5f9-174cc1a8da73-sql,Can you list all tables in the SQLite database catalog?,SELECT name FROM sqlite_master WHERE type='table',sql
00e3136b-f688-5ae4-a2bb-3354635261fc-ddl,,CREATE INDEX IFK_CustomerSupportRepId ON Customer (SupportRepId),ddl
04a3d9eb-fab7-5641-96a1-ae7924ae05e5-ddl,,CREATE INDEX IFK_EmployeeReportsTo ON Employee (ReportsTo),ddl
11439f95-bfbc-530c-8b7f-91f9e45d2877-ddl,,"CREATE TABLE Track
(
    TrackId INTEGER  NOT NULL,
    Name NVARCHAR(200)  NOT NULL,
    AlbumId INTEGER,
    MediaTypeId INTEGER  NOT NULL,
    GenreId INTEGER,
    Composer NVARCHAR(220),
    Milliseconds INTEGER  NOT NULL,
    Bytes INTEGER,
    UnitPrice NUMERIC(10,2)  NOT NULL,
    CONSTRAINT PK_Track PRIMARY KEY  (TrackId),
    FOREIGN KEY (AlbumId) REFERENCES Album (AlbumId) 
		ON DELETE NO ACTION ON UPDATE NO ACTION,
    FOREIGN KEY (GenreId) REFERENCES Genre (GenreId) 
		ON DELETE NO ACTION ON UPDATE NO ACTION,
    FOREIGN KEY (MediaTypeId) REFERENCES MediaType (MediaTypeId) 
		ON DELETE NO ACTION ON UPDATE NO ACTION
)",ddl
29f57d6d-552a-5cc2-8c8c-cb78918d1646-ddl,,"CREATE TABLE Genre
(
    GenreId INTEGER  NOT NULL,
    Name NVARCHAR(120),
    CONSTRAINT PK_Genre PRIMARY KEY  (GenreId)
)",ddl
33d9efb0-969c-59b8-95f1-04b3e0ddd2df-ddl,,CREATE INDEX IFK_TrackAlbumId ON Track (AlbumId),ddl
