id,question,content,training_data_type
036324ce-bf85-5a57-a00d-532cabb88454-sql,"
                    Generating SQL for this question:  Get the average invoice total for each customer:
                    results in the following error: [ERROR-VIZ] Failed to visualize df with plotly:
 str(e) .
                    Can you try to fix the error and re-generate the SQL statement?
                ","SELECT 
    c.CustomerId, 
    c.FirstName, 
    c.LastName, 
    AVG(i.Total) AS AverageInvoiceTotal
FROM 
    customers c
JOIN 
    invoices i ON c.CustomerId = i.CustomerId
GROUP BY 
    c.CustomerId, c.FirstName, c.LastName 
ORDER BY 
    AverageInvoiceTotal DESC LIMIT 20",sql
075d6bab-c47f-51d2-bf0b-df89bcfd7509-sql,How many customers are there,"SELECT COUNT(*) FROM ""customers"" LIMIT 20",sql
16388fba-acee-533b-9e85-135fa98c03d8-sql," 
        Can you find the top 10 most popular artists based on the number of tracks?
        Hint: There are 3 tables - artists, albums and tracks, 
        where albums and artists are linked by ArtistId, albums and tracks are linked by AlbumId,
    ","SELECT 
  ar.Name AS ArtistName, 
  COUNT(t.TrackId) AS TrackCount
FROM artists ar
JOIN albums al ON ar.ArtistId = al.ArtistId
JOIN tracks t ON al.AlbumId = t.AlbumId
GROUP BY ar.Name
ORDER BY TrackCount DESC
LIMIT 10;",sql
198be005-3d10-5b95-8e39-9a73ae76e6bc-sql,List all invoices with a total exceeding $10,SELECT * FROM invoices WHERE Total > 10 LIMIT 20,sql
1b78e1d7-95f1-58ad-a271-3e0f2bb93c1a-sql,Find the customer with the most invoices ,"SELECT c.FirstName, 
       c.LastName, 
       COUNT(i.InvoiceId) AS TotalInvoices
FROM customers c
JOIN invoices i ON c.CustomerId = i.CustomerId
GROUP BY c.FirstName, c.LastName
ORDER BY TotalInvoices DESC
LIMIT 1;",sql
1fa3b9ff-3645-5a83-845a-aa7eddf273ee-sql,List all employees and their reporting manager's name (if any):,"SELECT 
  e.FirstName || ' ' || e.LastName AS EmployeeName,
  CASE
    WHEN e.ReportsTo IS NULL THEN 'None'
    ELSE (SELECT FirstName || ' ' || LastName FROM employees WHERE EmployeeId = e.ReportsTo) END AS ManagerName
FROM 
  employees e LIMIT 20",sql
33d6ba56-9dd9-5506-a69f-8c85033826a2-sql,"
                    Generating SQL for this question: List all albums and their corresponding artist names  
                    results in the following error: [ERROR-VIZ] Failed to visualize df with plotly:
 str(e) .
                    Can you try to fix the error and re-generate the SQL statement?
                ","SELECT 
    a.Title, 
    ar.Name
FROM 
    albums a
JOIN 
    artists ar ON a.ArtistId = ar.ArtistId LIMIT 20",sql
44611482-10bd-587c-9a19-e0bdb3b3eaec-sql,Identify artists who have albums with tracks appearing in multiple genres:,"SELECT 
  ar.Name AS ArtistName
FROM 
  artists ar
JOIN 
  albums al ON ar.ArtistId = al.ArtistId
JOIN 
  tracks t ON al.AlbumId = t.AlbumId
GROUP BY 
  ar.Name
HAVING 
  COUNT(DISTINCT t.GenreId) > 1 LIMIT 20",sql
475c8bd5-41d6-5f8f-bfc0-480ef28e8a27-sql,"
                    Generating SQL for this question: 
                    Generating SQL for this question: Get all playlists containing at least 10 tracks and the total duration of those tracks:
                    results in the following error: [ERROR-DB] Failed to execute SQL: SELECT p.Name, SUM(Milliseconds) AS TotalDuration 
FROM playlists p
JOIN playlist_track pt ON p.PlaylistId = pt.PlaylistId
GROUP BY p.Name
HAVING COUNT(pt.TrackId) >= 10 LIMIT 20
 Execution failed on sql 'SELECT p.Name, SUM(Milliseconds) AS TotalDuration 
FROM playlists p
JOIN playlist_track pt ON p.PlaylistId = pt.PlaylistId
GROUP BY p.Name
HAVING COUNT(pt.TrackId) >= 10 LIMIT 20': no such column: Milliseconds .
                    Can you try to fix the error and re-generate the SQL statement?
                
                    results in the following error: [ERROR-DB] Failed to execute SQL: SELECT p.Name, SUM(Milliseconds) AS TotalDuration 
FROM playlists p
JOIN playlist_track pt ON p.PlaylistId = pt.PlaylistId
GROUP BY p.Name
HAVING COUNT(pt.TrackId) >= 10 LIMIT 20
 Execution failed on sql 'SELECT p.Name, SUM(Milliseconds) AS TotalDuration 
FROM playlists p
JOIN playlist_track pt ON p.PlaylistId = pt.PlaylistId
GROUP BY p.Name
HAVING COUNT(pt.TrackId) >= 10 LIMIT 20': no such column: Milliseconds .
                    Can you try to fix the error and re-generate the SQL statement?
                ","SELECT 
  p.Name,
  SUM(t.Milliseconds) AS TotalDuration
FROM playlists p
JOIN playlist_track pt ON p.PlaylistId = pt.PlaylistId
JOIN tracks t ON pt.TrackId = t.TrackId
GROUP BY p.Name
HAVING COUNT(pt.TrackId) >= 10
LIMIT 20;",sql
5456e605-2d79-5f12-a2f8-26613e6e3a2b-sql,List all customers from Canada and their email addresses:,"SELECT FirstName, LastName, Email FROM customers WHERE Country = 'Canada' LIMIT 20;",sql
5ba63d87-afb1-5446-8c40-ea0a21d718ca-sql,List all genres and the number of tracks in each genre:,"SELECT g.Name, COUNT(t.GenreId) AS TrackCount
FROM genres g
JOIN tracks t ON g.GenreId = t.GenreId
GROUP BY g.Name 
ORDER BY TrackCount DESC LIMIT 20",sql
5be0e1e8-e81d-5a72-93e4-a19f4cdacd50-sql, Get the average invoice total for each customer:,"SELECT c.CustomerId, c.FirstName, c.LastName, AVG(i.Total) AS AverageInvoiceTotal
FROM customers c
JOIN invoices i ON c.CustomerId = i.CustomerId
GROUP BY c.CustomerId, c.FirstName, c.LastName LIMIT 20;",sql
