id,question,content,training_data_type
2cc4ea45-c758-5369-967e-242bb1d58b49-sql,Get the total number of invoices for each customer,"SELECT CustomerId, COUNT(*) as NumberOfInvoices
FROM Invoices
GROUP BY CustomerId


",sql
3418eb2d-2059-5c63-85a3-3bf24c5c3712-sql,what are the top 5 countries that customers come from?,"SELECT Country, COUNT(*) as NumberOfCustomers
FROM Customers
GROUP BY Country
ORDER BY NumberOfCustomers DESC
LIMIT 5",sql
457c3312-48b1-5475-9392-3e92816a30fb-sql, Get the average invoice total for each customer:,"SELECT CustomerId, AVG(Total) as AverageInvoiceTotal
FROM Invoices
GROUP BY CustomerId


",sql
731c2a47-ac2e-5e49-b15e-9be10226b1da-sql,List all albums and their corresponding artist names  ,"SELECT Album.Title, Artist.Name
FROM Albums as Album
JOIN Artists as Artist on Album.ArtistId = Artist.ArtistId
",sql
83799c13-48aa-5aeb-be80-cbca82fd223e-sql,List all invoices with a total exceeding $10,"SELECT *
FROM Invoices
WHERE Total > 10


",sql
8947dd40-ae50-55be-9473-724b67eea386-sql,List all employees and their reporting manager's name (if any):,"SELECT Employee.LastName, Employee.FirstName, IFNULL(Manager.LastName,'') as ManagerLastName, IFNULL(Manager.FirstName,'') as ManagerFirstName
FROM Employees AS Employee
LEFT JOIN Employees AS Manager ON Employee.ReportsTo = Manager.EmployeeId
",sql
8f1d9ed4-a541-5574-a314-c8305bef014c-sql,Find the customer with the most invoices ,"SELECT CustomerId, COUNT(*) as NumberOfInvoices
FROM Invoices
GROUP BY CustomerId
ORDER BY NumberOfInvoices DESC
LIMIT 1


",sql
8f534062-3563-58b3-aace-8be735c8e009-sql,Find all invoices since 2010 and the total amount invoiced:,"SELECT *
FROM Invoices
WHERE InvoiceDate >= '2010-01-01'
ORDER BY Total DESC


",sql
a2babc52-d102-566f-83d6-cced3e6b35fa-sql,"
        For the question  
        Can you find the top 10 most popular artists based on the number of tracks?
        Hint: There are 3 tables - artists, albums and tracks, 
        where albums and artists are linked by ArtistId, albums and tracks are linked by AlbumId,
    , 
        the generated SQL statement SELECT Top(10) * FROM (
  SELECT *, ROW_NUMBER() OVER(ORDER BY COUNT(*) DESC) as Rank
  FROM Artists
    JOIN Albums on Artists.ArtistId = Albums.ArtistId
    JOIN Tracks on Albums.AlbumId = Tracks.AlbumId
  GROUP BY Artists.ArtistId
) as RankedArtists WHERE Rank <= 10




 results in the following exception [ERROR-DB] Failed to execute SQL: SELECT Top(10) * FROM (
  SELECT *, ROW_NUMBER() OVER(ORDER BY COUNT(*) DESC) as Rank
  FROM Artists
    JOIN Albums on Artists.ArtistId = Albums.ArtistId
    JOIN Tracks on Albums.AlbumId = Tracks.AlbumId
  GROUP BY Artists.ArtistId
) as RankedArtists WHERE Rank <= 10





 Execution failed on sql 'SELECT Top(10) * FROM (
  SELECT *, ROW_NUMBER() OVER(ORDER BY COUNT(*) DESC) as Rank
  FROM Artists
    JOIN Albums on Artists.ArtistId = Albums.ArtistId
    JOIN Tracks on Albums.AlbumId = Tracks.AlbumId
  GROUP BY Artists.ArtistId
) as RankedArtists WHERE Rank <= 10




': near ""FROM"": syntax error .
        Please fix the error and re-generate the SQL
        ","SELECT *
FROM (
  SELECT *, ROW_NUMBER() OVER(ORDER BY COUNT(*) DESC) as Rank
  FROM Artists
    JOIN Albums on Artists.ArtistId = Albums.ArtistId
    JOIN Tracks on Albums.AlbumId = Tracks.AlbumId
  GROUP BY Artists.ArtistId
) as RankedArtists WHERE Rank <= 10
",sql
ad5ad646-1638-540b-9010-4ebf66d688b8-sql,"Find all tracks with a name containing ""What"" (case-insensitive) ","SELECT Name
FROM Tracks
WHERE Name LIKE '%what%' OR Name LIKE '%What%'


",sql
be0e96df-1c31-56fd-8a85-9f4f32d59cc2-sql,Find the top 5 most expensive tracks (based on unit price):,"SELECT * FROM Tracks
ORDER BY UnitPrice DESC
LIMIT 5




",sql
c2c43c72-de6c-5ad2-90ae-a2e9048af920-sql,List all genres and the number of tracks in each genre:,"SELECT Genre.Name, COUNT(Track.GenreId) AS NumberOfTracks
FROM Tracks AS Track
JOIN Genres AS Genre ON Track.GenreId = Genre.GenreId
GROUP BY Genre.Name




",sql
d8a2f948-dffa-5524-a5f9-174cc1a8da73-sql,Can you list all tables in the SQLite database catalog?,SELECT name FROM sqlite_master WHERE type='table',sql
d9fca353-a81a-5b3a-8b02-7c0a73b980cc-sql,How many customers are there,"SELECT COUNT(*) FROM customers
",sql
e5b569cc-815a-5f11-829b-f2f5e3cbd45e-sql,"  
         Find the top 5 customers who spent the most money overall,  
         Hint: order total can be found on invoices table, calculation using invoice_items detail table is unnecessary 
    ","SELECT CustomerId, SUM(Total) as Totalspent
FROM Invoices
GROUP BY CustomerId
ORDER BY Totalspent DESC
LIMIT 5
",sql
039f9d54-59f7-5f29-8c04-14dbc3e95671-ddl,,"CREATE TABLE ""artists""
(
    ArtistId INTEGER PRIMARY KEY AUTOINCREMENT NOT NULL,
    Name NVARCHAR(120)
)",ddl
0db84e3d-ef41-563c-803e-21c1b985dc19-ddl,,"CREATE TABLE ""invoices""
(
    InvoiceId INTEGER PRIMARY KEY AUTOINCREMENT NOT NULL,
    CustomerId INTEGER  NOT NULL,
    InvoiceDate DATETIME  NOT NULL,
    BillingAddress NVARCHAR(70),
    BillingCity NVARCHAR(40),
    BillingState NVARCHAR(40),
    BillingCountry NVARCHAR(40),
    BillingPostalCode NVARCHAR(10),
    Total NUMERIC(10,2)  NOT NULL,
    FOREIGN KEY (CustomerId) REFERENCES ""customers"" (CustomerId) 
		ON DELETE NO ACTION ON UPDATE NO ACTION
)",ddl
10cba811-ddba-5042-9e90-d764dfcd1629-ddl,,"CREATE INDEX IFK_InvoiceCustomerId ON ""invoices"" (CustomerId)",ddl
2c711317-b93d-5f60-a728-cb1c6fcbc040-ddl,,"CREATE INDEX IFK_CustomerSupportRepId ON ""customers"" (SupportRepId)",ddl
37319c81-65f7-50ee-956b-795de244bee5-ddl,,"CREATE TABLE sqlite_stat1(tbl,idx,stat)",ddl
40bd77cd-e1de-5872-8693-624117ff413c-ddl,,"CREATE INDEX IFK_InvoiceLineInvoiceId ON ""invoice_items"" (InvoiceId)",ddl
41130543-7164-562a-90a7-0fd0a409c154-ddl,,"CREATE TABLE ""albums""
(
    AlbumId INTEGER PRIMARY KEY AUTOINCREMENT NOT NULL,
    Title NVARCHAR(160)  NOT NULL,
    ArtistId INTEGER  NOT NULL,
    FOREIGN KEY (ArtistId) REFERENCES ""artists"" (ArtistId) 
		ON DELETE NO ACTION ON UPDATE NO ACTION
)",ddl
458debc8-8082-5450-a17a-66028bd55ace-ddl,,"CREATE TABLE ""playlists""
(
    PlaylistId INTEGER PRIMARY KEY AUTOINCREMENT NOT NULL,
    Name NVARCHAR(120)
)",ddl
4815f3fd-925b-53ce-9dfa-0e4285d5abd3-ddl,,"CREATE TABLE ""invoice_items""
(
    InvoiceLineId INTEGER PRIMARY KEY AUTOINCREMENT NOT NULL,
    InvoiceId INTEGER  NOT NULL,
    TrackId INTEGER  NOT NULL,
    UnitPrice NUMERIC(10,2)  NOT NULL,
    Quantity INTEGER  NOT NULL,
    FOREIGN KEY (InvoiceId) REFERENCES ""invoices"" (InvoiceId) 
		ON DELETE NO ACTION ON UPDATE NO ACTION,
    FOREIGN KEY (TrackId) REFERENCES ""tracks"" (TrackId) 
		ON DELETE NO ACTION ON UPDATE NO ACTION
)",ddl
48d484e9-984c-58ff-b391-75521c69d486-ddl,,"CREATE INDEX IFK_PlaylistTrackTrackId ON ""playlist_track"" (TrackId)",ddl
551e1120-a6ee-554f-8b8a-ccf4f22d3636-ddl,,"CREATE INDEX IFK_AlbumArtistId ON ""albums"" (ArtistId)",ddl
5ff4911e-45c1-5a59-9566-243a9b6a3320-ddl,,"CREATE TABLE ""employees""
(
    EmployeeId INTEGER PRIMARY KEY AUTOINCREMENT NOT NULL,
    LastName NVARCHAR(20)  NOT NULL,
    FirstName NVARCHAR(20)  NOT NULL,
    Title NVARCHAR(30),
    ReportsTo INTEGER,
    BirthDate DATETIME,
    HireDate DATETIME,
    Address NVARCHAR(70),
    City NVARCHAR(40),
    State NVARCHAR(40),
    Country NVARCHAR(40),
    PostalCode NVARCHAR(10),
    Phone NVARCHAR(24),
    Fax NVARCHAR(24),
    Email NVARCHAR(60),
    FOREIGN KEY (ReportsTo) REFERENCES ""employees"" (EmployeeId) 
		ON DELETE NO ACTION ON UPDATE NO ACTION
)",ddl
65df0648-bf05-5f75-9365-c21f54b2302d-ddl,,"CREATE TABLE ""media_types""
(
    MediaTypeId INTEGER PRIMARY KEY AUTOINCREMENT NOT NULL,
    Name NVARCHAR(120)
)",ddl
6b585176-e66d-5b23-8d86-ca8a80e3af3d-ddl,,"CREATE INDEX IFK_EmployeeReportsTo ON ""employees"" (ReportsTo)",ddl
868758b8-e018-55e7-8cc3-75c0e6d211c8-ddl,,"CREATE INDEX IFK_TrackAlbumId ON ""tracks"" (AlbumId)",ddl
