id,question,content,training_data_type
1865f765-d03d-58b8-9c3d-6c85a1ac0cd2-sql,"  
         Find the top 5 customers who spent the most money overall,  
         Hint: order total can be found on invoices table, calculation using invoice_items detail table is unnecessary 
    ","SELECT T1.FirstName, T1.LastName, SUM(T2.Total) AS TotalSpent 
FROM customers AS T1 INNER JOIN invoices AS T2 ON T1.CustomerId = T2.CustomerId 
GROUP BY T1.CustomerId, T1.FirstName, T1.LastName ORDER BY TotalSpent DESC LIMIT 5",sql
188c86ca-6e77-5458-946d-578750ab1d6f-sql,Find the total number of invoices per country,"SELECT T1.Country, COUNT(T2.InvoiceId) AS TotalInvoices 
FROM customers AS T1 INNER JOIN invoices AS T2 ON T1.CustomerId = T2.CustomerId 
GROUP BY T1.Country",sql
3573cc12-226d-594d-b18e-59b7a60974e9-sql,Find the top 5 most expensive tracks (based on unit price):,"SELECT Name, UnitPrice FROM tracks ORDER BY UnitPrice DESC LIMIT 5",sql
4a76dec7-5fdb-5067-9efe-0519c7af4aeb-sql,"Find all tracks with a name containing ""What"" (case-insensitive) ",SELECT Name FROM tracks WHERE lower(Name) LIKE '%what%',sql
5e061de8-0829-55cf-bbf5-ebf9679c2975-sql,List all employees and their reporting manager's name (if any):,"SELECT T1.FirstName, T1.LastName, 
CASE 
    WHEN T2.ReportsTo IS NULL THEN 'No Manager'
    ELSE (SELECT FirstName + ' ' + LastName FROM employees WHERE EmployeeId = T2.ReportsTo)
END AS ReportingManager
FROM employees AS T1
LEFT JOIN employees AS T2 ON T1.EmployeeId = T2.ReportsTo",sql
6dfccd21-420a-51d1-9091-2d2cae8a958d-sql,List all invoices with a total exceeding $10,SELECT * FROM invoices WHERE Total > 10.0,sql
70c32399-3190-53e3-8add-fefdf39d64aa-sql,List all albums and their corresponding artist names  ,"SELECT T1.Title, T2.Name FROM albums AS T1 INNER JOIN artists AS T2 ON T1.ArtistId = T2.ArtistId",sql
7b95cb61-f754-59a4-80e6-781a2baf09ea-sql,Get the total number of invoices for each customer,"SELECT T1.FirstName, T1.LastName, COUNT(T2.InvoiceId) AS TotalInvoices 
FROM customers AS T1 INNER JOIN invoices AS T2 ON T1.CustomerId = T2.CustomerId 
GROUP BY T1.CustomerId, T1.FirstName, T1.LastName",sql
802a18d4-2d9d-5daa-a7e0-4a19b7b9ad60-sql, Get the average invoice total for each customer:,"SELECT T1.CustomerId, AVG(T2.Total) AS AverageInvoiceTotal 
FROM customers AS T1 INNER JOIN invoices AS T2 ON T1.CustomerId = T2.CustomerId 
GROUP BY T1.CustomerId",sql
86618510-0418-5b14-8763-4480def5cf50-sql,what are the top 5 countries that customers come from?,"SELECT Country, COUNT(CustomerId) AS Count 
FROM customers 
GROUP BY Country 
ORDER BY Count DESC
LIMIT 5",sql
8a9a346a-a536-58eb-b6c7-9d5a0377fd18-sql," 
        Can you find the top 10 most popular artists based on the number of tracks?
        Hint: There are 3 tables - artists, albums and tracks, 
        where albums and artists are linked by ArtistId, albums and tracks are linked by AlbumId,
    ","SELECT T2.Name, COUNT(T1.TrackId) AS TrackCount 
FROM artists AS T2 INNER JOIN tracks AS T1 ON T2.ArtistId = ( SELECT AlbumId FROM albums WHERE ArtistId = T2.ArtistId ) 
GROUP BY T2.Name ORDER BY TrackCount DESC LIMIT 10",sql
9128be4d-cdd7-5acc-b339-92b1bf6e181a-sql,How many customers are there,SELECT COUNT(CustomerId) FROM customers,sql
