id,question,content,training_data_type
075d6bab-c47f-51d2-bf0b-df89bcfd7509-sql,How many customers are there,"SELECT COUNT(*) FROM ""customers"" LIMIT 20",sql
2aae2563-ffa5-5f4f-b67b-91346c2acc1e-sql,"  
         Find the top 5 customers who spent the most money overall,  
         Hint: order total can be found on invoices table, calculation using invoice_items detail table is unnecessary 
    ","SELECT ""customers"".CustomerId AS CustomerID, ""customers"".FirstName, ""customers"".LastName, SUM(""invoices"".Total) AS TotalSpend
    FROM ""customers""
    JOIN ""invoices"" ON ""customers"".CustomerId = ""invoices"".CustomerId
    GROUP BY ""customers"".CustomerId, ""customers"".FirstName, ""customers"".LastName
    ORDER BY TotalSpend DESC
    LIMIT 5;",sql
2c708f43-c17a-58fc-9cd9-cd8fcaf9df7b-sql," 
        Can you find the top 10 most popular artists based on the number of tracks?
        Hint: There are 3 tables - artists, albums and tracks, 
        where albums and artists are linked by ArtistId, albums and tracks are linked by AlbumId,
    ","SELECT a.Name AS ArtistName, COUNT(t.TrackId) AS NumTracks
    FROM ""artists"" AS a
    JOIN ""albums"" AS al ON a.ArtistId = al.ArtistId
    LEFT JOIN ""tracks"" AS t ON al.AlbumId = t.AlbumId
   GROUP BY a.Name
   ORDER BY NumTracks DESC
   LIMIT 10",sql
44207df8-4445-501c-b5a1-4edd58372a1d-sql,which table stores customer's orders,"SELECT ""customers"".CustomerId FROM ""customers"" INNER JOIN ""invoices"" ON ""customers"".CustomerId = ""invoices"".CustomerId LIMIT 20",sql
48843492-803c-5369-af8c-06b267009ff0-sql,"
                    Generating SQL for this question:  Get the average invoice total for each customer:
                    results in the following error: [ERROR-SQL] the generated SQL :  Intermediate\_sql: SELECT CustomerId FROM ""invoices""
   SELECT AVG(Total) AS AverageInvoiceTotal, ""customers"".CustomerId
   FROM ""invoices""
   INNER JOIN ""customers"" ON ""invoices"".CustomerId = ""customers"".CustomerId
   GROUP BY ""customers"".CustomerId
 does not starts with ('select','with') .
                    Can you try to fix the error and re-generate the SQL statement?
                ","SELECT AVG(Total) AS AverageInvoiceTotal, ""customers"".CustomerId
   FROM ""invoices""
   INNER JOIN ""customers"" ON ""invoices"".CustomerId = ""customers"".CustomerId
   GROUP BY ""customers"".CustomerId LIMIT 20",sql
51dd0a88-bcfc-5e6e-bd91-90755b72640f-sql,"Find all tracks with a name containing ""What"" (case-insensitive) ","SELECT * FROM ""tracks"" WHERE LOWER(Name) LIKE '%what%' LIMIT 20",sql
541da987-5958-53cd-aa08-3b53bf9fa36d-sql,"      
        Find the top 5 customers who bought the most albums in total quantity (across all invoices):
        Hint: album quantity is found in invoice_items, 
    ","SELECT ""customers"".CustomerId, COUNT(""invoice_items"".InvoiceLineId) AS TotalAlbumsPurchased
    FROM ""customers""
    INNER JOIN ""invoices"" ON ""customers"".CustomerId = ""invoices"".CustomerId
    INNER JOIN ""invoice_items"" ON ""invoices"".InvoiceId = ""invoice_items"".InvoiceId
    INNER JOIN ""tracks"" ON ""invoice_items"".TrackId = ""tracks"".TrackId
    INNER JOIN ""albums"" ON ""tracks"".AlbumId = ""albums"".AlbumId
    GROUP BY ""customers"".CustomerId
    ORDER BY COUNT(""invoice_items"".InvoiceLineId) DESC
    LIMIT 5;",sql
5553bde8-5fd3-5f6b-8f5f-bcc719ab7eec-sql,"
                    Generating SQL for this question: List all invoices with a total exceeding $10
                    results in the following error: [ERROR-SQL] the generated SQL :  Intermediate_sql: SELECT DISTINCT InvoiceId FROM ""invoices""
   SELECT * FROM ""invoices"" WHERE Total > 10 AND InvoiceId IN (SELECT DISTINCT InvoiceId FROM ""invoices"")
 does not starts with ('select','with') .
                    Can you try to fix the error and re-generate the SQL statement?
                ","SELECT * FROM ""invoices"" WHERE Total > 10 LIMIT 20",sql
5986bdaf-c87a-57b7-930b-78b517f3f555-sql,Get all playlists containing at least 10 tracks and the total duration of those tracks:,"SELECT PlaylistId, SUM(Milliseconds) as TotalDuration
    FROM playlist_track
    JOIN tracks ON playlist_track.TrackId = tracks.TrackId
    GROUP BY PlaylistId
    HAVING COUNT(*) >= 10 LIMIT 20",sql
847b949f-f170-50bf-b3a2-d96dc1c4e11b-sql,Find the customer with the most invoices ,"SELECT ""customers"".CustomerId, COUNT(""invoices"".InvoiceId) AS NumInvoices
    FROM ""customers""
    JOIN ""invoices"" ON ""customers"".CustomerId = ""invoices"".CustomerId
    GROUP BY ""customers"".CustomerId
    ORDER BY NumInvoices DESC
    LIMIT 1;",sql
