id,question,content,training_data_type
049d362f-dfca-529e-ba7e-7d16e1ddaf33-sql,Get all playlists containing at least 10 tracks and the total duration of those tracks:,"SELECT p.Name AS PlaylistName, SUM(t.Milliseconds) AS TotalDuration FROM playlists p JOIN playlist_track pt ON p.PlaylistId = pt.PlaylistId JOIN tracks t ON pt.TrackId = t.TrackId GROUP BY p.PlaylistId HAVING COUNT(t.TrackId) >= 10",sql
07a7f214-7ef1-52d4-b327-3e2f8cd9bd57-sql,"
                For this question: which table stores customer's orders, 
                your generated SQL statement: invoices results in the following exception: [ERROR-SQL] the generated SQL : invoices
 does not starts with ('select','with') .
                Can you please fix the error and re-generate the SQL statement?
            ",SELECT name FROM sqlite_master WHERE type='table' AND name='invoices',sql
146ba04e-dbac-58c0-b0c6-fe7b8c397c68-sql,Get the total number of invoices for each customer,"SELECT CustomerId, COUNT(*)
FROM invoices
GROUP BY CustomerId",sql
21d4b292-07cb-51d4-ba89-6ac2bbc6b490-sql,what are the top 5 countries that customers come from?,"SELECT country, COUNT(*) as num_customers
FROM customers
GROUP BY country
ORDER BY num_customers DESC
LIMIT 5",sql
256eeef7-aff7-59e7-bb8a-f2c361c407cf-sql,"  
         Find the top 5 customers who spent the most money overall,  
         Hint: order total can be found on invoices table, calculation using invoice_items detail table is unnecessary 
    ","SELECT CustomerId, SUM(Total) AS TotalSpent FROM invoices GROUP BY CustomerId ORDER BY TotalSpent DESC LIMIT 5",sql
26ba68ab-b932-5f22-89da-74029f5e0285-sql,Find the customer who bought the most albums in total quantity (across all invoices):,"SELECT c.CustomerId, COUNT(ii.TrackId) AS TotalAlbumsBought FROM customers c JOIN invoices i ON c.CustomerId = i.CustomerId JOIN invoice_items ii ON i.InvoiceId = ii.InvoiceId WHERE ii.TrackId IN (SELECT ta.TrackId FROM tracks ta JOIN albums a ON ta.AlbumId = a.AlbumId GROUP BY ta.TrackId) GROUP BY c.CustomerId ORDER BY TotalAlbumsBought DESC LIMIT 1",sql
2f21bb39-7f91-5048-adac-9c721490ee39-sql,List all genres and the number of tracks in each genre:,"SELECT g.Name AS GenreName, COUNT(t.TrackId) AS TrackCount
FROM genres g
LEFT JOIN tracks t ON g.GenreId = t.GenreId
GROUP BY g.GenreId",sql
55774a9c-f87d-50a9-9502-0925f5638dc5-sql,"      
        Find the top 5 customers who bought the most albums in total quantity (across all invoices):
        Hint: album quantity is found in invoice_items, 
    ","SELECT
    i.CustomerId,
    COUNT(ii.TrackId) AS TotalAlbumsBought
FROM
    invoices i
JOIN
    invoice_items ii ON i.InvoiceId = ii.InvoiceId
GROUP BY
    i.CustomerId
ORDER BY
    TotalAlbumsBought DESC
LIMIT 5",sql
5e22f1a8-263e-5e39-a6c7-c9e07c831a7e-sql,Find the top 5 most expensive tracks (based on unit price):,"SELECT TrackId, Name, UnitPrice FROM tracks ORDER BY UnitPrice DESC LIMIT 5",sql
6304c034-7e76-5a53-b15d-da112977366d-sql,"
                For this question: 
                For this question: Find the total number of invoices per country, 
                your generated SQL statement: SELECTBillingCountry, COUNT(*) FROMinvoicesGROUP BYBillingCountry results in the following exception: [ERROR-DB] Failed to execute SQL: SELECTBillingCountry, COUNT(*) FROMinvoicesGROUP BYBillingCountry
 Execution failed on sql 'SELECTBillingCountry, COUNT(*) FROMinvoicesGROUP BYBillingCountry': near ""SELECTBillingCountry"": syntax error .
                Can you please fix the error and re-generate the SQL statement?
            , 
                your generated SQL statement: SELECT Country, COUNT(*) as TotalInvoices
FROM invoices
GROUP BY Country results in the following exception: [ERROR-DB] Failed to execute SQL: SELECT Country, COUNT(*) as TotalInvoices
FROM invoices
GROUP BY Country
 Execution failed on sql 'SELECT Country, COUNT(*) as TotalInvoices
FROM invoices
GROUP BY Country': no such column: Country .
                Can you please fix the error and re-generate the SQL statement?
            ","SELECT BillingCountry, COUNT(*) FROM invoices GROUP BY BillingCountry",sql
6a3adf50-f6a4-55ad-82bf-8b599dc0eb56-sql,List all employees and their reporting manager's name (if any):,"SELECT e.FirstName AS EmployeeFirstName,
       e.LastName AS EmployeeLastName,
       m.FirstName AS ManagerFirstName,
       m.LastName AS ManagerLastName
FROM employees e
LEFT JOIN employees m ON e.ReportsTo = m.EmployeeId",sql
977bc391-4d99-58b4-95d7-a244618f101d-sql,"Find all tracks with a name containing ""What"" (case-insensitive) ",SELECT * FROM tracks WHERE lower(Name) LIKE '%what%',sql
a0006c30-889f-5782-8f59-726368872290-sql,How many customers are there,SELECT COUNT(*) FROM customers,sql
