id,question,content,training_data_type
010e22ef-86cb-56e3-9692-81109e6510ba-sql,"      
        Find the top 5 customers who bought the most albums in total quantity (across all invoices):
        Hint: album quantity is found in invoice_items, 
    ","SELECT c.CustomerId, c.FirstName, c.LastName, SUM(ii.Quantity) AS TotalQuantity FROM customers c JOIN invoices i ON c.CustomerId = i.CustomerId JOIN invoice_items ii ON i.InvoiceId = ii.InvoiceId GROUP BY c.CustomerId, c.FirstName, c.LastName ORDER BY TotalQuantity DESC LIMIT 5;",sql
03129d1e-2a23-52be-aee0-9c42774248ad-sql,"Find all tracks with a name containing ""What"" (case-insensitive) ",SELECT Name FROM tracks WHERE LOWER(Name) LIKE '%what%' LIMIT 20,sql
09b5c84c-abca-5731-af61-7d148c5bd42f-sql,Can you list all tables in the SQLite database catalog?,SELECT name FROM sqlite_master WHERE type='table' ORDER BY name LIMIT 20,sql
1943d53e-1d2e-531e-b3fc-097ae8c1e917-sql,Find all invoices since 2010 and the total amount invoiced:,"SELECT InvoiceId, InvoiceDate, Total FROM invoices WHERE InvoiceDate >= '2010-01-01' LIMIT 20",sql
33d361a3-7ca0-50c3-8589-9f7e352ae32b-sql,List all customers from Canada and their email addresses:,"SELECT FirstName, LastName, Email FROM customers WHERE Country = 'Canada' LIMIT 20",sql
3573cc12-226d-594d-b18e-59b7a60974e9-sql,Find the top 5 most expensive tracks (based on unit price):,"SELECT Name, UnitPrice FROM tracks ORDER BY UnitPrice DESC LIMIT 5",sql
59006847-350a-57fd-b650-3b0a11540dde-sql,List all employees and their reporting manager's name (if any):,"SELECT e1.FirstName, e1.LastName, COALESCE(e2.FirstName, 'No Manager') || ' ' || COALESCE(e2.LastName, '') AS ManagerName FROM employees e1 LEFT JOIN employees e2 ON e1.ReportsTo = e2.EmployeeId LIMIT 20",sql
59c18bcf-ec50-510a-bb26-f750db5f61a5-sql,Get the total number of invoices for each customer,"SELECT c.CustomerId, c.FirstName, c.LastName, COUNT(i.InvoiceId) AS InvoiceCount FROM customers c LEFT JOIN invoices i ON c.CustomerId = i.CustomerId GROUP BY c.CustomerId, c.FirstName, c.LastName LIMIT 20",sql
5db72f5c-9945-58d3-8bf7-4faad0e36e72-sql," 
        Can you find the top 10 most popular artists based on the number of tracks?
        Hint: There are 3 tables - artists, albums and tracks, 
        where albums and artists are linked by ArtistId, albums and tracks are linked by AlbumId,
    ","SELECT a.Name AS ArtistName, COUNT(t.TrackId) AS TrackCount FROM artists a JOIN albums al ON a.ArtistId = al.ArtistId JOIN tracks t ON al.AlbumId = t.AlbumId GROUP BY a.ArtistId, a.Name ORDER BY TrackCount DESC LIMIT 10",sql
5e526ae4-4473-5cc5-9185-b16c465687c0-sql,How many customers are there,SELECT COUNT(*) FROM customers LIMIT 20,sql
6575ba89-ff9f-5c4a-b5eb-1319e8a0adc5-sql,List all albums and their corresponding artist names  ,"SELECT a.Title, ar.Name AS ArtistName FROM albums a JOIN artists ar ON a.ArtistId = ar.ArtistId LIMIT 20",sql
80c7755f-a605-5b98-b382-1f5b432f5a12-sql,Find the customer who bought the most albums in total quantity (across all invoices):,"SELECT c.CustomerId, c.FirstName, c.LastName, SUM(ii.Quantity) AS TotalQuantity FROM customers c JOIN invoices i ON c.CustomerId = i.CustomerId JOIN invoice_items ii ON i.InvoiceId = ii.InvoiceId GROUP BY c.CustomerId, c.FirstName, c.LastName ORDER BY TotalQuantity DESC LIMIT 1;",sql
