id,question,content,training_data_type
09b5c84c-abca-5731-af61-7d148c5bd42f-sql,Can you list all tables in the SQLite database catalog?,SELECT name FROM sqlite_master WHERE type='table' ORDER BY name LIMIT 20,sql
122e8965-ddf1-5450-9715-9ac1da34db20-sql,Find the customer who bought the most albums in total quantity (across all invoices):,"SELECT c.CustomerId, c.FirstName, c.LastName, SUM(ii.Quantity) AS TotalAlbumsBought FROM customers c JOIN invoices i ON c.CustomerId = i.CustomerId JOIN invoice_items ii ON i.InvoiceId = ii.InvoiceId GROUP BY c.CustomerId ORDER BY TotalAlbumsBought DESC LIMIT 1",sql
198be005-3d10-5b95-8e39-9a73ae76e6bc-sql,List all invoices with a total exceeding $10,SELECT * FROM invoices WHERE Total > 10 LIMIT 20,sql
1c5ecf9f-2f4d-5f79-a06d-7fd1951eb637-sql,"
                    Generating SQL for this question:  
        Can you find the top 10 most popular artists based on the number of tracks?
        Hint: There are 3 tables - artists, albums and tracks, 
        where albums and artists are linked by ArtistId, albums and tracks are linked by AlbumId,
    
                    results in the following error: [ERROR-DB] Failed to execute SQL: SELECT T1.Name, COUNT(T2.TrackId) AS NumberOfTracks FROM artists AS T1 INNER JOIN albums AS T2 ON T1.ArtistId = T2.ArtistId INNER JOIN tracks AS T3 ON T2.AlbumId = T3.AlbumId GROUP BY T1.Name ORDER BY NumberOfTracks DESC LIMIT 10
 Execution failed on sql 'SELECT T1.Name, COUNT(T2.TrackId) AS NumberOfTracks FROM artists AS T1 INNER JOIN albums AS T2 ON T1.ArtistId = T2.ArtistId INNER JOIN tracks AS T3 ON T2.AlbumId = T3.AlbumId GROUP BY T1.Name ORDER BY NumberOfTracks DESC LIMIT 10': no such column: T2.TrackId .
                    Can you try to fix the error and re-generate the SQL statement?
                ","SELECT T1.Name, COUNT(T3.TrackId) AS NumberOfTracks FROM artists AS T1 INNER JOIN albums AS T2 ON T1.ArtistId = T2.ArtistId INNER JOIN tracks AS T3 ON T2.AlbumId = T3.AlbumId GROUP BY T1.Name ORDER BY NumberOfTracks DESC LIMIT 10",sql
23de068f-9874-59b3-b2ec-a13ebe92ea84-sql,"
                    Generating SQL for this question: which table stores customer's orders
                    results in the following error: [ERROR-SQL] the generated SQL : The `invoices` table stores the customer's orders.
 does not starts with ('select','with') .
                    Can you try to fix the error and re-generate the SQL statement?
                ",SELECT COUNT(*) AS NumberOfOrders FROM invoices LIMIT 20,sql
2c04fea1-d410-5a2a-9008-de11c10aa92c-sql,"Find all tracks with a name containing ""What"" (case-insensitive) ",SELECT Name FROM tracks WHERE Name LIKE '%What%' LIMIT 20,sql
33d361a3-7ca0-50c3-8589-9f7e352ae32b-sql,List all customers from Canada and their email addresses:,"SELECT FirstName, LastName, Email FROM customers WHERE Country = 'Canada' LIMIT 20",sql
3573cc12-226d-594d-b18e-59b7a60974e9-sql,Find the top 5 most expensive tracks (based on unit price):,"SELECT Name, UnitPrice FROM tracks ORDER BY UnitPrice DESC LIMIT 5",sql
41998db9-92ca-55fc-8ce8-2751fa15bb42-sql,List all employees and their reporting manager's name (if any):,"SELECT e1.FirstName, e1.LastName, e2.FirstName AS ManagerFirstName, e2.LastName AS ManagerLastName FROM employees e1 LEFT JOIN employees e2 ON e1.ReportsTo = e2.EmployeeId LIMIT 20",sql
5ffb4619-8883-545e-aaf5-4e27546e413c-sql,Find the total number of invoices per country,"SELECT Country, COUNT(*) AS TotalInvoices FROM customers INNER JOIN invoices ON customers.CustomerId = invoices.CustomerId GROUP BY Country LIMIT 20",sql
631a7907-d12c-5430-a992-cb08fb8262e0-sql, Get the average invoice total for each customer:,"SELECT CustomerId, AVG(Total) AS AverageTotal FROM invoices GROUP BY CustomerId LIMIT 20",sql
6b354359-d1e0-5d45-a0aa-2bf27e2cc175-sql,"  
         Find the top 5 customers who spent the most money overall,  
         Hint: order total can be found on invoices table, calculation using invoice_items detail table is unnecessary 
    ","SELECT c.CustomerId, c.FirstName, c.LastName, SUM(i.Total) AS TotalSpent FROM customers c JOIN invoices i ON c.CustomerId = i.CustomerId GROUP BY c.CustomerId ORDER BY TotalSpent DESC LIMIT 5",sql
7ce0beaa-10fa-56ae-9e1f-7273e533fd55-sql,How many customers are there,SELECT COUNT(CustomerId) AS NumberOfCustomers FROM customers LIMIT 20,sql
8b120293-a7bc-558c-9579-a0103081007b-sql,Find all invoices since 2010 and the total amount invoiced:,"SELECT InvoiceDate, SUM(Total) AS TotalAmount FROM invoices WHERE STRFTIME('%Y', InvoiceDate) = '2010' GROUP BY InvoiceDate LIMIT 20",sql
94534b51-85ea-56f1-b2c9-23741c941085-sql,what are the top 5 countries that customers come from?,"SELECT Country, COUNT(*) AS NumberOfCustomers FROM customers GROUP BY Country ORDER BY NumberOfCustomers DESC LIMIT 5",sql
979c5a10-b565-5a05-a940-57d7a38ad53d-sql,List all genres and the number of tracks in each genre:,"SELECT T1.Name, COUNT(T2.TrackId) AS NumberOfTracks FROM genres AS T1 INNER JOIN tracks AS T2 ON T1.GenreId = T2.GenreId GROUP BY T1.Name LIMIT 20",sql
9e4458a1-b28d-53e8-a8ba-3679ed3b4b26-sql,List all albums and their corresponding artist names  ,"SELECT T1.Title, T2.Name FROM albums AS T1 INNER JOIN artists AS T2 ON T1.ArtistId = T2.ArtistId LIMIT 20",sql
c078e19e-b91f-5419-a346-3ea8b8fd5ac7-sql,Find the customer with the most invoices ,"SELECT c.CustomerId, c.FirstName, c.LastName, COUNT(i.InvoiceId) AS NumberOfInvoices FROM customers c JOIN invoices i ON c.CustomerId = i.CustomerId GROUP BY c.CustomerId ORDER BY NumberOfInvoices DESC LIMIT 1",sql
