id,question,content,training_data_type
36f6eb14-b765-56c2-b8ae-9a472c310845-sql,what are the top 5 countries that customers come from?,"SELECT billingcountry ,  count(*) FROM invoices GROUP BY billingcountry ORDER BY count(*) DESC LIMIT 5",sql
383d4056-ce42-5d92-a3f0-4aee6593314c-sql," 
        Can you find the top 10 most popular artists based on the number of tracks?
        Hint: There are 3 tables - artists, albums and tracks, 
        where albums and artists are linked by ArtistId, albums and tracks are linked by AlbumId,
    ","SELECT a.name ,  COUNT(*) FROM artists AS a JOIN albums AS al ON a.artistid = al.artistid JOIN tracks AS t ON al.albumid = t.albumid GROUP BY a.artistid ORDER BY COUNT(*) DESC LIMIT 10",sql
3e62489e-6eb3-55e4-8f4b-530281a1f17d-sql,Identify artists who have albums with tracks appearing in multiple genres:,SELECT a.name FROM artists AS a JOIN albums AS al ON a.artistid = al.artistid JOIN tracks AS t ON al.albumid = t.albumid GROUP BY a.artistid HAVING count(DISTINCT genreid) > 1 LIMIT 20,sql
40af6cbb-579c-5d37-a280-e364b349fbd1-sql,How many customers are there,SELECT count(*) FROM customers LIMIT 20,sql
420d48d7-3274-55c0-be16-a16c8ca8b17e-sql,List all genres and the number of tracks in each genre:,"SELECT g.name ,  count(*) FROM genres AS g JOIN tracks AS t ON g.genreid = t.genreid GROUP BY g.genreid LIMIT 20",sql
7d92e7f5-14a9-572d-b083-1bef7b97501c-sql,"
                    Generating SQL for this question: which table stores customer's orders
                    results in the following error: [ERROR-SQL] the generated SQL : The invoices table stores customer's orders. It contains information about each individual order, including the customer ID and total amount spent.
 does not starts with ('select','with') .
                    Can you try to fix the error and re-generate the SQL statement?
                ",SELECT * FROM invoices LIMIT 20,sql
8747bc7e-959d-546a-962c-bca34b21c19c-sql, Get the average invoice total for each customer:,"SELECT AVG(total) ,  c.customerid FROM customers AS c JOIN invoices AS i ON c.customerid = i.customerid GROUP BY c.customerid LIMIT 20",sql
9459869d-3d31-5c56-a5da-9a79255fa5e0-sql,"
                    Generating SQL for this question: 
                    Generating SQL for this question: Find the customer who bought the most albums in total quantity (across all invoices):
                    results in the following error: [ERROR-DB] Failed to execute SQL: SELECT c.customerid ,  SUM(t.quantity) FROM customers AS c JOIN invoices AS i ON c.customerid = i.customerid JOIN invoice_items AS ii ON i.invoiceid = ii.invoiceid JOIN tracks AS t ON ii.trackid = t.trackid GROUP BY c.customerid ORDER BY sum(t.quantity) DESC LIMIT 1
 Execution failed on sql 'SELECT c.customerid ,  SUM(t.quantity) FROM customers AS c JOIN invoices AS i ON c.customerid = i.customerid JOIN invoice_items AS ii ON i.invoiceid = ii.invoiceid JOIN tracks AS t ON ii.trackid = t.trackid GROUP BY c.customerid ORDER BY sum(t.quantity) DESC LIMIT 1': no such column: t.quantity .
                    Can you try to fix the error and re-generate the SQL statement?
                
                    results in the following error: [ERROR-DB] Failed to execute SQL: SELECT c.customerid ,  SUM(t.quantity) FROM customers AS c JOIN invoices AS i ON c.customerid = i.customerid JOIN invoice_items AS ii ON i.invoiceid = ii.invoiceid JOIN tracks AS t ON ii.trackid = t.trackid GROUP BY c.customerid ORDER BY sum(t.quantity) DESC LIMIT 1
 Execution failed on sql 'SELECT c.customerid ,  SUM(t.quantity) FROM customers AS c JOIN invoices AS i ON c.customerid = i.customerid JOIN invoice_items AS ii ON i.invoiceid = ii.invoiceid JOIN tracks AS t ON ii.trackid = t.trackid GROUP BY c.customerid ORDER BY sum(t.quantity) DESC LIMIT 1': no such column: t.quantity .
                    Can you try to fix the error and re-generate the SQL statement?
                ","SELECT c.customerid ,  SUM(ii.quantity) FROM customers AS c JOIN invoices AS i ON c.customerid = i.customerid JOIN invoice_items AS ii ON i.invoiceid = ii.invoiceid JOIN tracks AS t ON ii.trackid = t.trackid GROUP BY c.customerid ORDER BY sum(ii.quantity) DESC LIMIT 1",sql
9b05e6d2-f897-54a0-8ada-4f1307474677-sql,Find the total number of invoices per country,"SELECT billingcountry ,  count(*) FROM invoices GROUP BY billingcountry LIMIT 20",sql
9f192b54-a4b2-5a2f-96b7-8bbdd3423d14-sql,List all invoices with a total exceeding $10,SELECT * FROM invoices WHERE total > 10 LIMIT 20,sql
