id,question,content,training_data_type
0635a8fa-d5d1-568f-a68d-76578fe09510-sql,List all customers from Canada and their email addresses:,"SELECT CustomerId, FirstName, LastName, Email 
FROM customers 
WHERE Country = 'Canada'",sql
12139b77-b8dd-5525-9c79-d68986c652af-sql,"
        For the question   
         Find the top 5 customers who spent the most money overall,  
         Hint: order total can be found on invoices table, calculation using invoice_items detail table is unnecessary 
    , 
        the generated SQL statement None results in the following exception [ERROR-SQL] Failed to generate SQL for prompt:   
         Find the top 5 customers who spent the most money overall,  
         Hint: order total can be found on invoices table, calculation using invoice_items detail table is unnecessary 
     with the following exception: 
timed out .
        Please fix the error and re-generate the SQL
        ","SELECT c.CustomerId, c.FirstName, c.LastName, SUM(i.Total) AS TotalSpent
FROM customers c
JOIN invoices i ON c.CustomerId = i.CustomerId
GROUP BY c.CustomerId, c.FirstName, c.LastName
ORDER BY TotalSpent DESC
LIMIT 5",sql
2d5184ce-e34e-5610-ab68-e6209ea6c763-sql,List all employees and their reporting manager's name (if any):,"SELECT e1.EmployeeId, e1.FirstName || ' ' || e1.LastName AS EmployeeName, 
       COALESCE(e2.FirstName || ' ' || e2.LastName, 'None') AS ManagerName 
FROM employees e1 
LEFT JOIN employees e2 ON e1.ReportsTo = e2.EmployeeId",sql
53218464-9901-50ba-b4df-d1c11a6de761-sql,Get all playlists containing at least 10 tracks and the total duration of those tracks:,"SELECT p.PlaylistId, p.Name, COUNT(pt.TrackId) AS TotalTracks, SUM(t.Milliseconds) / 1000 AS TotalDurationInSeconds
FROM playlists p
JOIN playlist_track pt ON p.PlaylistId = pt.PlaylistId
JOIN tracks t ON pt.TrackId = t.TrackId
GROUP BY p.PlaylistId, p.Name
HAVING COUNT(pt.TrackId) >= 10",sql
55b1a26d-72ce-5fe7-8f7d-4708f7c7dddc-sql,Find the top 5 most expensive tracks (based on unit price):,"SELECT TrackId, Name, UnitPrice 
FROM tracks 
ORDER BY UnitPrice DESC 
LIMIT 5",sql
70a70d33-31e3-56b2-9303-6e6506a456d8-sql,Find all invoices since 2010 and the total amount invoiced:,"SELECT InvoiceId, Total 
FROM invoices 
WHERE InvoiceDate >= '2010-01-01'",sql
73178a89-0392-52fe-ae53-a3ae4a0e76dd-sql,"
        For the question what are the top 5 countries that customers come from?, 
        the generated SQL statement SELECT BillingCountry, COUNT(*) as CustomerCount 
FROM customers 
GROUP BY BillingCountry 
ORDER BY CustomerCount DESC 
LIMIT 5 results in the following exception [ERROR-DB] Failed to execute SQL: SELECT BillingCountry, COUNT(*) as CustomerCount 
FROM customers 
GROUP BY BillingCountry 
ORDER BY CustomerCount DESC 
LIMIT 5
 Execution failed on sql 'SELECT BillingCountry, COUNT(*) as CustomerCount 
FROM customers 
GROUP BY BillingCountry 
ORDER BY CustomerCount DESC 
LIMIT 5': no such column: BillingCountry .
        Please fix the error and re-generate the SQL
        ","SELECT Country, COUNT(*) AS CustomerCount 
FROM customers 
GROUP BY Country 
ORDER BY CustomerCount DESC 
LIMIT 5",sql
77f42233-4efd-5644-bcb5-5cfb8d404ff6-sql,List all genres and the number of tracks in each genre:,"SELECT g.Name AS GenreName, COUNT(t.TrackId) AS NumberOfTracks
FROM genres g
JOIN tracks t ON g.GenreId = t.GenreId
GROUP BY g.Name",sql
78bf2283-e012-50e9-a724-32b0fb2b790d-sql,"Find all tracks with a name containing ""What"" (case-insensitive) ","SELECT TrackId, Name FROM tracks WHERE LOWER(Name) LIKE '%what%'",sql
7bcc7062-b9ff-57eb-b9ce-0495e481eb65-sql, Get the average invoice total for each customer:,"SELECT c.CustomerId, c.FirstName, c.LastName, AVG(i.Total) AS AverageInvoiceTotal
FROM customers c
JOIN invoices i ON c.CustomerId = i.CustomerId
GROUP BY c.CustomerId, c.FirstName, c.LastName",sql
