id,question,content,training_data_type
0a39f28e-4263-5d39-99c9-d3384f17923b-sql,"      
        Find the top 5 customers who bought the most albums in total quantity (across all invoices):
        Hint: album quantity is found in invoice_items, 
    ","SELECT c.CustomerId, c.FirstName, c.LastName, SUM(ii.Quantity) AS TotalAlbumQuantity
FROM customers c
JOIN invoices i ON c.CustomerId = i.CustomerId
JOIN invoice_items ii ON i.InvoiceId = ii.InvoiceId
GROUP BY c.CustomerId
ORDER BY TotalAlbumQuantity DESC
LIMIT 5;",sql
3839630a-e1a3-5502-89cc-0ec879997c30-sql,"
                    For this question: 
                    For this question: Find all tracks with a name containing ""What"" (case-insensitive) , 
                    your generated SQL statement: SELECT * 
FROM tracks
WHERE LOWER(TrackName) LIKE '%what%' LIMIT 20; results in the following error: [ERROR-DB] Failed to execute SQL: SELECT * 
FROM tracks
WHERE LOWER(TrackName) LIKE '%what%' LIMIT 20;
 Execution failed on sql 'SELECT * 
FROM tracks
WHERE LOWER(TrackName) LIKE '%what%' LIMIT 20;': no such column: TrackName .
                    Can you please fix this error and re-generate the SQL statement?
                , 
                    your generated SQL statement: with a name containing ""What"" (case-insensitive):

```sql
SELECT * 
FROM tracks
WHERE LOWER(Name) LIKE '%what%' LIMIT 20; results in the following error: [ERROR-DB] Failed to execute SQL: with a name containing ""What"" (case-insensitive):

```sql
SELECT * 
FROM tracks
WHERE LOWER(Name) LIKE '%what%' LIMIT 20;
 Execution failed on sql 'with a name containing ""What"" (case-insensitive):

```sql
SELECT * 
FROM tracks
WHERE LOWER(Name) LIKE '%what%' LIMIT 20;': near ""name"": syntax error .
                    Can you please fix this error and re-generate the SQL statement?
                ","SELECT * 
FROM tracks
WHERE LOWER(Name) LIKE '%what%' LIMIT 20;",sql
3bbee3e2-ea7d-50ef-8f9e-0c6b284ea364-sql, Get the average invoice total for each customer:,"SELECT c.CustomerId, c.FirstName, c.LastName, AVG(i.Total) AS AverageInvoiceTotal
FROM customers c
JOIN invoices i ON c.CustomerId = i.CustomerId
GROUP BY c.CustomerId, c.FirstName, c.LastName LIMIT 20;",sql
40664a1e-4daa-5b18-a0ef-5cf6e676ab0a-sql,How many customers are there,"SELECT COUNT(*) AS NumberOfCustomers
FROM customers LIMIT 20",sql
4320a67a-8f4c-59c5-a234-8e23b72e6129-sql," 
        Can you find the top 10 most popular artists based on the number of tracks?
        Hint: There are 3 tables - artists, albums and tracks, 
        where albums and artists are linked by ArtistId, albums and tracks are linked by AlbumId,
    ","SELECT a.Name AS ArtistName, COUNT(t.TrackId) AS NumberOfTracks
FROM artists a
JOIN albums al ON a.ArtistId = al.ArtistId
JOIN tracks t ON al.AlbumId = t.AlbumId
GROUP BY a.ArtistId
ORDER BY NumberOfTracks DESC
LIMIT 10;",sql
5c1ec1dd-ad4a-57ba-9131-db2f22ad3e96-sql,Get the total number of invoices for each customer,"SELECT c.CustomerId, c.FirstName, c.LastName, COUNT(i.InvoiceId) AS TotalInvoices
FROM customers c
JOIN invoices i ON c.CustomerId = i.CustomerId
GROUP BY c.CustomerId, c.FirstName, c.LastName LIMIT 20",sql
64c7c4d1-d0b7-5c2b-baaa-cb5827bfad67-sql,Find the top 5 most expensive tracks (based on unit price):,"SELECT Name, UnitPrice
FROM tracks
ORDER BY UnitPrice DESC
LIMIT 5;",sql
69ef6f1e-6e76-5e25-a5fa-d92cb77cde0f-sql,List all genres and the number of tracks in each genre:,"SELECT g.Name AS GenreName, COUNT(t.TrackId) AS NumberOfTracks
FROM genres g
LEFT JOIN tracks t ON g.GenreId = t.GenreId
GROUP BY g.GenreId, g.Name ORDER BY NumberOfTracks DESC LIMIT 20;",sql
78c94286-7fe9-53d6-ae67-158ce3a7639a-sql,"
                    For this question: 
                    For this question:   
         Find the top 5 customers who spent the most money overall,  
         Hint: order total can be found on invoices table, calculation using invoice_items detail table is unnecessary 
    , 
                    your generated SQL statement: None results in the following error: [ERROR-SQL] Failed to generate SQL for prompt:   
         Find the top 5 customers who spent the most money overall,  
         Hint: order total can be found on invoices table, calculation using invoice_items detail table is unnecessary 
     with the following exception: 
an unknown error was encountered while running the model  .
                    Can you please fix this error and re-generate the SQL statement?
                , 
                    your generated SQL statement: None results in the following error: [ERROR-SQL] Failed to generate SQL for prompt: 
                    For this question:   
         Find the top 5 customers who spent the most money overall,  
         Hint: order total can be found on invoices table, calculation using invoice_items detail table is unnecessary 
    , 
                    your generated SQL statement: None results in the following error: [ERROR-SQL] Failed to generate SQL for prompt:   
         Find the top 5 customers who spent the most money overall,  
         Hint: order total can be found on invoices table, calculation using invoice_items detail table is unnecessary 
     with the following exception: 
an unknown error was encountered while running the model  .
                    Can you please fix this error and re-generate the SQL statement?
                 with the following exception: 
an unknown error was encountered while running the model  .
                    Can you please fix this error and re-generate the SQL statement?
                ","SELECT c.CustomerId, c.FirstName, c.LastName, SUM(i.Total) AS TotalSpent
FROM customers c
JOIN invoices i ON c.CustomerId = i.CustomerId
GROUP BY c.CustomerId
ORDER BY TotalSpent DESC
LIMIT 5;",sql
83199c55-763a-5fa0-b134-f2420364aabd-sql,List all customers from Canada and their email addresses:,"SELECT FirstName, LastName, Email
FROM customers
WHERE Country = 'Canada' ORDER BY LastName, FirstName LIMIT 20;",sql
