id,question,content,training_data_type
198be005-3d10-5b95-8e39-9a73ae76e6bc-sql,List all invoices with a total exceeding $10,SELECT * FROM invoices WHERE Total > 10 LIMIT 20,sql
2c04fea1-d410-5a2a-9008-de11c10aa92c-sql,"Find all tracks with a name containing ""What"" (case-insensitive) ",SELECT Name FROM tracks WHERE Name LIKE '%What%' LIMIT 20,sql
3352c452-b618-557c-9dd4-b5b14f238a18-sql,List all employees and their reporting manager's name (if any):,"SELECT e1.FirstName AS EmployeeFirstName, e1.LastName AS EmployeeLastName, e2.FirstName AS ManagerFirstName, e2.LastName AS ManagerLastName FROM employees AS e1 LEFT JOIN employees AS e2 ON e1.ReportsTo = e2.EmployeeId LIMIT 20",sql
33d361a3-7ca0-50c3-8589-9f7e352ae32b-sql,List all customers from Canada and their email addresses:,"SELECT FirstName, LastName, Email FROM customers WHERE Country = 'Canada' LIMIT 20",sql
3573cc12-226d-594d-b18e-59b7a60974e9-sql,Find the top 5 most expensive tracks (based on unit price):,"SELECT Name, UnitPrice FROM tracks ORDER BY UnitPrice DESC LIMIT 5",sql
438bf865-0842-5804-bd93-72c83c76e0ee-sql,Find all invoices since 2010 and the total amount invoiced:,SELECT SUM(Total) FROM invoices WHERE InvoiceDate >= '2010-01-01' LIMIT 20,sql
6b30401c-4178-5d83-83da-c8846995fc59-sql,Find the total number of invoices per country,"SELECT BillingCountry, COUNT(*) AS TotalInvoices FROM invoices GROUP BY BillingCountry LIMIT 20",sql
7473fe4f-0701-5c1a-9570-57d0039a7370-sql,Get the total number of invoices for each customer,"SELECT c.CustomerId, c.FirstName, c.LastName, COUNT(i.InvoiceId) AS TotalInvoices FROM customers AS c JOIN invoices AS i ON c.CustomerId = i.CustomerId GROUP BY c.CustomerId LIMIT 20",sql
7aecfe4c-9c38-5500-8273-af745bbf3cd6-sql, Get the average invoice total for each customer:,"SELECT c.CustomerId, c.FirstName, c.LastName, AVG(i.Total) AS AverageInvoiceTotal FROM customers AS c JOIN invoices AS i ON c.CustomerId = i.CustomerId GROUP BY c.CustomerId LIMIT 20",sql
87c386f3-cd86-558d-8933-5f8f056b0662-sql,"      
        Find the top 5 customers who bought the most albums in total quantity (across all invoices):
        Hint: album quantity is found in invoice_items, 
    ","SELECT c.CustomerId, c.FirstName, c.LastName, SUM(ii.UnitPrice) AS TotalSpent FROM customers AS c JOIN invoices AS i ON c.CustomerId = i.CustomerId JOIN invoice_items AS ii ON i.InvoiceId = ii.InvoiceId WHERE ii.TrackId IN ( SELECT TrackId FROM albums ) GROUP BY c.CustomerId ORDER BY TotalSpent DESC LIMIT 5",sql
94534b51-85ea-56f1-b2c9-23741c941085-sql,what are the top 5 countries that customers come from?,"SELECT Country, COUNT(*) AS NumberOfCustomers FROM customers GROUP BY Country ORDER BY NumberOfCustomers DESC LIMIT 5",sql
9f52b00e-4ebd-5eda-b218-51645a2fbdc1-sql,Can you list all tables in the SQLite database catalog?,SELECT name FROM sqlite_master WHERE type='table' LIMIT 20,sql
a3146099-61f5-5038-a674-df567fd9ffe0-sql,How many customers are there,SELECT COUNT(CustomerId) FROM customers LIMIT 20,sql
