Subject,Level,Name,Type,Description,URL
dataScience,beginner : intermediate,Coursera - Data Science Specialization,Online Course,"'A comprehensive series of courses covering various aspects of data science, offered by Johns Hopkins University.'",https://www.coursera.org/specializations/jhu-data-science
dataScience,novice : beginner : intermediate,DataCamp,Interactive Learning Platform,Offers a wide range of courses and hands-on coding exercises for data science and analytics.,https://www.datacamp.com/
dataScience,beginner : intermediate : advanced : expert,Kaggle,Community and Competition Platform,"'Provides datasets, competitions, and a community for data scientists to learn and showcase their skills.'",https://www.kaggle.com/
dataScience,intermediate : advanced,edX - Data Science MicroMasters,Online Program,"'A series of graduate-level courses offered by various universities, covering core data science concepts.'",https://www.edx.org/micromasters/data-science
dataScience,intermediate : advanced,Fast.ai,Free Online Course,"'Offers practical deep learning courses for coders, focusing on neural networks and machine learning.'",https://www.fast.ai/
dataScience,beginner : intermediate : advanced,Analytics Vidhya,Community and Learning Platform,"'Provides articles, tutorials, and courses on various data science topics, as well as hackathons and job opportunities.'",https://www.analyticsvidhya.com/
dataScience,intermediate : advanced : expert,MIT OpenCourseWare - Data Science and Statistics,Free Online Courses,"'Offers various courses from MIT covering data science, statistics, and machine learning topics.'",https://ocw.mit.edu/courses/find-by-topic/#cat=mathematics&subcat=probabilityandstatistics
dataScience,novice : beginner : intermediate,DataQuest,Interactive Learning Platform,Provides hands-on coding experience and guided projects for learning data science skills.,https://www.dataquest.io/
dataScience,beginner : intermediate : advanced : expert,Towards Data Science,Online Publication,A Medium publication featuring articles and tutorials on various data science topics written by practitioners and experts.,https://towardsdatascience.com/
dataScience,intermediate : advanced,Data Science at the Command Line,Free Online Book,"'A comprehensive guide to data science using command-line tools, covering data manipulation, exploration, and analysis.'",https://datascienceatthecommandline.com/
