Subject,Level,Name,Type,Description,URL
english,Novice : Beginner,Duolingo,Mobile App,Gamified language learning app with bite-sized lessons and exercises.,https://www.duolingo.com/course/en/es/Learn-English
english,Beginner : Intermediate : Advanced,BBC Learning English,Website and Mobile App,"'Free lessons, videos, and quizzes for English learners, including news-based materials.'",https://www.bbc.co.uk/learningenglish/
english,Beginner : Intermediate : Advanced,EnglishCentral,Video-based Learning Platform,Learn English through popular videos with interactive transcripts and vocabulary tools.,https://www.englishcentral.com/
english,Intermediate : Advanced : Expert,Grammarly,Writing Assistant Tool,"'AI-powered writing assistant that helps improve grammar, spelling, and style.'",https://www.grammarly.com/
english,Beginner : Intermediate : Advanced,Coursera - English Language Courses,Online Course Platform,Various English language courses from top universities and institutions.,https://www.coursera.org/browse/language-learning/learning-english
english,Beginner : Intermediate : Advanced,FluentU,Immersion Platform,"'Learn English through real-world videos like music videos, movie trailers, and news.'",https://www.fluentu.com/english/
english,Novice : Beginner : Intermediate,Memrise,Mobile App,Vocabulary-focused app using spaced repetition and mnemonics for efficient learning.,https://www.memrise.com/languages/english/
english,Beginner : Intermediate : Advanced : Expert,italki,Language Exchange Platform,Connect with native English speakers for one-on-one tutoring or language exchange.,https://www.italki.com/teachers/english
english,Intermediate : Advanced : Expert,TED Talks,Video Platform,"'Engaging talks on various topics, great for listening practice and expanding vocabulary.'",https://www.ted.com/
english,Beginner : Intermediate : Advanced : Expert,Linguee,Online Dictionary and Translation Tool,Dictionary that provides translations in context from real-world sources.,https://www.linguee.com/
