Subject,Level,Name,Type,Description,URL
math,Novice : Beginner : Intermediate : Advanced,Khan Academy Math,Online Course,Free comprehensive math courses covering topics from elementary to college level.,https://www.khanacademy.org/math
math,Beginner : Intermediate : Advanced,Brilliant,Interactive Learning Platform,Problem-solving based courses in various math topics with increasing difficulty.,https://brilliant.org/courses/#/science/mathematics
math,Intermediate : Advanced : Expert,3Blue1Brown,YouTube Channel,Animated math videos explaining complex concepts with stunning visualizations.,https://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw
math,Intermediate : Advanced : Expert,MIT OpenCourseWare Mathematics,University Lectures,Free access to MIT's undergraduate and graduate-level math course materials.,https://ocw.mit.edu/courses/mathematics/
math,Intermediate : Advanced : Expert,Art of Problem Solving,Online Community and Courses,"'Resources for high-performing students, focusing on problem-solving and competition math.'",https://artofproblemsolving.com/
math,Intermediate : Advanced : Expert,Wolfram MathWorld,Online Encyclopedia,Comprehensive and in-depth encyclopedia of mathematics.,https://mathworld.wolfram.com/
math,Novice : Beginner : Intermediate,IXL Math,Interactive Practice Platform,Adaptive math practice covering K-12 curriculum with immediate feedback.,https://www.ixl.com/math/
math,Intermediate : Advanced,Paul's Online Math Notes,Online Notes and Tutorials,"'Detailed math notes and tutorials for algebra, calculus, and differential equations.'",https://tutorial.math.lamar.edu/
math,Advanced : Expert,MathOverflow,Q&A Forum,Question and answer site for professional mathematicians.,https://mathoverflow.net/
math,Beginner : Intermediate : Advanced,Numberphile,YouTube Channel,Videos featuring mathematicians discussing various number and math concepts.,https://www.youtube.com/user/numberphile
