Subject,Level,Name,Type,Description,URL
chinese,Novice : Beginner,Duolingo,Mobile App,Gamified language learning app with bite-sized lessons and exercises.,https://www.duolingo.com/course/zh/en/Learn-Chinese
chinese,Novice : Beginner : Intermediate,HelloChinese,Mobile App,Comprehensive app designed specifically for learning Mandarin Chinese.,https://www.hellochinese.cc/
chinese,Beginner : Intermediate : Advanced,ChinesePod,Podcast and Online Lessons,Audio lessons with accompanying text and exercises for various proficiency levels.,https://chinesepod.com/
chinese,Beginner : Intermediate,Yoyo Chinese,Online Course,"'Structured video-based courses covering speaking, reading, and writing skills.'",https://www.yoyochinese.com/
chinese,Novice : Beginner : Intermediate : Advanced : Expert,Pleco,Mobile App,Comprehensive Chinese-English dictionary app with flashcard system and document reader.,https://www.pleco.com/
chinese,Beginner : Intermediate : Advanced,edX - MandarinX,Online Course,Free online Mandarin courses from Tsinghua University and other institutions.,https://www.edx.org/learn/mandarin
chinese,Beginner : Intermediate : Advanced,Skritter,Mobile App,App focused on teaching Chinese characters through writing practice.,https://skritter.com/
chinese,Intermediate : Advanced : Expert,The Chairman's Bao,Online News Platform,Simplified Chinese news articles with difficulty levels and learning tools.,https://www.thechairmansbao.com/
chinese,Beginner : Intermediate : Advanced,Coursera - HSK Chinese courses,Online Course,Structured courses aligned with HSK (Chinese Proficiency Test) levels.,https://www.coursera.org/courses?query=hsk
chinese,Intermediate : Advanced : Expert,Lang-8,Language Exchange Platform,Write in Chinese and get corrections from native speakers.,https://lang-8.com/
computerScience,Novice : Beginner : Intermediate,freeCodeCamp,Online Learning Platform,Free coding bootcamp offering certifications in various programming languages and CS concepts.,https://www.freecodecamp.org/
computerScience,Novice : Beginner : Intermediate,Codecademy,Interactive Coding Platform,Learn to code interactively with hands-on exercises and projects.,https://www.codecademy.com/
computerScience,Beginner : Intermediate,CS50: Introduction to Computer Science,Online Course,Harvard University's introduction to computer science and programming.,https://cs50.harvard.edu/x/
computerScience,Intermediate : Advanced : Expert,LeetCode,Coding Challenge Platform,Platform for preparing technical coding interviews with a vast array of problems.,https://leetcode.com/
computerScience,Intermediate : Advanced : Expert,MIT OpenCourseWare: Electrical Engineering and Computer Science,University Lectures,Free access to MIT's undergraduate and graduate-level computer science course materials.,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/
computerScience,Beginner : Intermediate : Advanced,Coursera: Computer Science Courses,Online Course Platform,Wide range of computer science courses from various universities and institutions.,https://www.coursera.org/browse/computer-science
computerScience,Beginner : Intermediate : Advanced,GeeksforGeeks,Tutorial Website,"'Computer science portal with tutorials, articles, and coding problems.'",https://www.geeksforgeeks.org/
