date,nq-kp,nq-cp
2021-10-08,"[13682.75, 13708.5, 13722.0, 13785.75, 13852.0, 14022.0, 14091.5, 14134.5, 14204.5, 14245.75, 14267.5, 14373.0, 14413.75, 14432.5, 14460.5, 14477.25, 14617.75, 14653.0, 14682.0, 14690.0, 14740.5, 14758.75, 14776.5, 14848.5, 14859.0, 14891.25, 14908.75, 14924.0, 14939.0, 14951.5, 15022.5, 15046.0, 15055.0, 15099.0, 15111.5, 15133.0, 15186.0, 15240.0, 15383.25, 15482.0, 15581.75, 15680.25, 15788.75, 15845.0, 15913.25, 15931.75, 15959.0, 15978.5, 16032.75, 16049.5, 16100.0]","[13872.75, 14078.5, 14305.0, 14424.75, 14590.25, 14839.0, 14999.0, 15307.5, 15408.75, 15534.75, 15654.25]"
2021-10-11,"[13783.25, 13849.0, 13921.5, 13946.0, 14071.75, 14115.5, 14234.5, 14251.25, 14259.25, 14325.0, 14341.0, 14439.25, 14475.0, 14504.5, 14641.5, 14668.5, 14756.0, 14803.25, 14857.5, 14882.25, 14912.25, 14924.25, 14934.0, 14951.25, 14975.0, 15043.25, 15073.25, 15162.25, 15223.0, 15369.5, 15398.0, 15499.0, 15527.5, 15637.0, 15680.25, 15707.25, 15732.75, 15808.5, 15873.5, 15932.5, 15955.5, 15979.5, 16013.75]","[14054.25, 14427.75, 14696.75, 14794.0, 14901.75, 14996.5, 15106.75, 15119.75, 15290.5]"
2021-10-12,"[13655.5, 13676.25, 13703.0, 13781.0, 13800.75, 13825.25, 13939.0, 14030.0, 14096.75, 14166.75, 14235.0, 14272.75, 14309.0, 14332.25, 14410.5, 14442.0, 14453.5, 14532.0, 14650.0, 14684.25, 14739.25, 14761.75, 14771.5, 14811.75, 14854.75, 14868.75, 14906.5, 14916.0, 14929.0, 14939.5, 14958.75, 14994.0, 15080.25, 15091.5, 15140.75, 15159.0, 15273.5, 15355.75, 15387.25, 15706.5, 15734.25, 15828.25, 15905.0]","[14217.75, 14489.5, 14593.0, 14711.5, 14798.5, 14876.0, 15040.5, 15206.0, 15520.25, 15692.25]"
2021-10-13,"[13624.0, 13634.5, 13655.5, 13700.25, 13720.75, 13734.25, 13778.5, 13786.0, 13853.75, 14005.75, 14031.25, 14099.0, 14110.25, 14277.0, 14320.5, 14456.25, 14503.75, 14544.5, 14559.5, 14598.75, 14669.25, 14729.5, 14787.0, 14802.25, 14829.75, 14852.5, 14861.5, 14869.75, 14912.25, 14927.0, 14947.5, 14991.5, 15054.0, 15116.5, 15161.5, 15189.0, 15256.25, 15343.0, 15376.5, 15639.75, 15732.75, 15747.5, 15761.25]","[13673.0, 13806.25, 14078.0, 14218.75, 14467.75, 14626.25, 14700.0, 14712.5, 14901.0, 15037.75, 15513.0]"
2021-10-14,"[13588.5, 13620.75, 13633.0, 13677.75, 13697.25, 13777.75, 13981.5, 14002.75, 14031.0, 14202.5, 14230.75, 14245.0, 14482.0, 14496.0, 14518.25, 14536.25, 14555.25, 14601.0, 14667.25, 14682.25, 14719.75, 14729.0, 14752.5, 14802.5, 14816.75, 14850.25, 14863.5, 14895.25, 14908.25, 14918.5, 14931.5, 14966.5, 14989.0, 15027.5, 15094.0, 15128.0, 15149.75, 15172.0, 15182.25, 15239.0, 15250.75, 15328.0, 15365.75, 15505.75, 15527.25, 15759.0, 15788.0, 15803.0]","[13669.75, 14013.5, 14059.25, 14470.25, 14586.75, 14624.75, 14791.0, 15035.0]"
2021-10-15,"[13754.0, 13840.0, 13963.0, 14040.5, 14140.75, 14186.0, 14447.5, 14484.5, 14502.25, 14532.75, 14614.0, 14662.25, 14702.75, 14731.25, 14752.25, 14772.0, 14818.0, 14848.0, 14864.75, 14889.75, 14913.5, 14930.5, 14943.5, 14975.0, 14986.5, 15016.25, 15046.25, 15071.5, 15146.25, 15155.0, 15222.0, 15266.25, 15355.0, 15498.5, 15711.5, 15785.25, 15887.75, 15985.25, 15999.25, 16014.75, 16051.0]","[13773.75, 13895.5, 14213.0, 14622.0, 14710.0, 14904.25, 15001.25, 15032.25, 15203.25, 15247.5, 15314.25, 15815.0, 15858.25, 16061.25]"
2021-10-18,"[14050.75, 14169.75, 14327.25, 14403.5, 14498.75, 14510.5, 14547.25, 14576.75, 14595.5, 14641.5, 14653.0, 14727.25, 14748.5, 14851.0, 14884.25, 14908.5, 14949.0, 14975.0, 14984.0, 15021.0, 15029.5, 15049.0, 15138.0, 15164.5, 15224.0, 15235.5, 15300.25, 15345.25, 15362.5, 15491.25, 15811.5, 15842.0, 15895.5, 15913.5, 16013.25, 16032.5, 16081.75]","[14181.0, 14700.25, 14714.75, 14833.5, 14900.5, 15004.0, 15101.25, 15124.5, 15205.0, 15281.75]"
2021-10-19,"[14153.5, 14350.5, 14512.75, 14531.5, 14561.5, 14603.25, 14674.75, 14682.25, 14690.5, 14730.75, 14762.5, 14789.25, 14799.5, 14849.0, 14948.5, 14967.25, 14981.5, 15026.75, 15187.75, 15297.25, 15333.5, 15484.0, 15837.75, 15869.0, 15968.75, 16041.25, 16050.5, 16079.5]","[14213.25, 14304.75, 14878.5, 14903.25, 14995.75, 15103.75, 15121.0, 15244.75, 15286.5, 15450.0, 15619.5, 15927.25, 16062.25, 16102.25, 16225.0]"
2021-10-20,"[14527.0, 14539.0, 14553.5, 14576.0, 14637.5, 14680.75, 14747.0, 14767.5, 14778.25, 14830.0, 14841.5, 14864.5, 14922.25, 14970.75, 14985.5, 15024.0, 15041.75, 15083.25, 15170.5, 15272.75, 15322.75, 15337.0, 15419.25, 15476.75, 15499.25, 15540.75, 15664.5, 15863.75, 15876.5, 15896.0, 16093.5, 16122.75, 16347.0]","[14462.0, 14486.0, 14696.25, 14873.0, 14898.0, 14996.25, 15004.0, 15104.0, 15201.0, 15312.5, 15947.0, 16024.0, 16069.5, 16263.75, 16271.75]"
2021-10-21,"[14440.75, 14503.75, 14541.25, 14553.25, 14597.0, 14671.0, 14723.5, 14735.5, 14763.0, 14870.75, 14895.75, 14935.5, 14945.5, 14972.5, 14981.5, 15021.25, 15062.5, 15087.0, 15153.5, 15219.5, 15258.75, 15328.0, 15355.75, 15438.25, 15469.5, 15486.0, 15638.5, 15814.25, 15879.25, 15890.0, 15966.75, 16079.5, 16087.0, 16097.5, 16125.0, 16146.5, 16301.75]","[14794.25, 14839.25, 14880.0, 15003.75, 15286.5, 15312.0, 15410.0, 15922.75, 16133.5]"
