Zi,Category
金,Nature
木,Nature
水,"Nature, Social-Activity"
火,Nature
土,Nature
天,Nature
地,Nature
日,Nature
月,Nature
星,Nature
风,Nature
雨,Nature
川,Nature
山,Nature
石,Nature
光,Nature
电,Nature
气,Nature
声,Nature
云,Nature
古,Space-Time
今,Space-Time
历,Space-Time
史,Space-Time
久,Space-Time
年,Space-Time
春,Space-Time
夏,Space-Time
秋,Space-Time
冬,Space-Time
宇,Space-Time
宙,Space-Time
世,Space-Time
界,Space-Time
广,Space-Time
东,Space-Time
西,Space-Time
南,Space-Time
北,Space-Time
中,Space-Time
米,"Plant, Units-of-Measure"
麦,Plant
豆,Plant
瓜,Plant
果,Plant
根,Plant
芽,Plant
枝,Plant
叶,Plant
茎,Plant
松,Plant
柏,Plant
杉,Plant
杨,Plant
柳,Plant
花,Plant
草,Plant
竹,Plant
树,Plant
林,Plant
豕,Animal
马,Animal
牛,Animal
羊,Animal
犬,Animal
鸟,Animal
虫,Animal
鱼,Animal
蛇,Animal
龙,Animal
虎,Animal
鹿,Animal
兔,Animal
鼠,Animal
象,Animal
飞,"Animal, Social-Trade"
禽,Animal
走,Animal
兽,Animal
灵,Animal
心,Human
血,Human
脑,Human
骨,Human
肉,Human
头,Human
尾,Human
手,Human
足,"Human, Social-Activity"
颈,Human
眉,Human
目,Human
耳,Human
鼻,Human
口,Human
牙,Human
齿,Human
臼,Human
舌,Human
唇,Human
体,Human
存,Human
皮,Human
毛,Human
身,Human
尸,Human
亡,Human
了,Human
死,Human
生,Human
神,Social-Value
仙,Social-Value
圣,Social-Value
凡,Social-Value
人,Social-Value
君,Social-Value
主,Social-Value
王,Social-Value
子,"Social-Value, Math-Number"
臣,Social-Value
父,Social-Value
母,Social-Value
儿,Social-Value
女,Social-Value
亲,Social-Value
兄,Social-Value
弟,Social-Value
姐,Social-Value
妹,Social-Value
情,Social-Value
朋,Social-Value
友,Social-Value
当,Social-Value
自,"Social-Value, Social-Trade"
己,"Social-Value, Math-Number"
知,Social-Value
不,"Abstract-Literature, Social-Activity, Social-Value"
易,Social-Value
寻,Social-Value
公,Social-Value
民,Social-Value
士,"Social-Value, Social-Defense"
大,"Abstract-Comparative, Social-Value"
夫,"Social-Activity, Social-Value"
家,Social-Value
奴,Social-Value
仆,Social-Value
丫,Social-Value
丁,"Social-Value, Math-Number"
国,Social-Activity
省,Social-Activity
市,Social-Activity
乡,Social-Activity
屯,Social-Activity
商,Social-Activity
学,Social-Activity
工,Social-Activity
农,Social-Activity
兵,"Social-Activity, Social-Defense"
作,Social-Activity
业,Social-Activity
