id,dataset,question,content,training_data_type
020848a7-bac7-53cf-9af9-ca0f8e540216-ddl,default,,"CREATE INDEX IFK_EmployeeReportsTo ON ""employees"" (ReportsTo)",ddl
02ee8d00-a7dd-5598-b62b-e3a06084dbda-ddl,default,,"CREATE TABLE ""playlists""
(
    PlaylistId INTEGER PRIMARY KEY AUTOINCREMENT NOT NULL,
    Name NVARCHAR(120)
)",ddl
039a70d7-499f-57e5-9cff-73e7c23dd2b3-ddl,default,,"CREATE TABLE ""media_types""
(
    MediaTypeId INTEGER PRIMARY KEY AUTOINCREMENT NOT NULL,
    Name NVARCHAR(120)
)",ddl
0f11423b-66c8-5ba4-8e59-2e4f617db70e-ddl,default,,"CREATE TABLE ""invoices""
(
    InvoiceId INTEGER PRIMARY KEY AUTOINCREMENT NOT NULL,
    CustomerId INTEGER  NOT NULL,
    InvoiceDate DATETIME  NOT NULL,
    BillingAddress NVARCHAR(70),
    BillingCity NVARCHAR(40),
    BillingState NVARCHAR(40),
    BillingCountry NVARCHAR(40),
    BillingPostalCode NVARCHAR(10),
    Total NUMERIC(10,2)  NOT NULL,
    FOREIGN KEY (CustomerId) REFERENCES ""customers"" (CustomerId) 
		ON DELETE NO ACTION ON UPDATE NO ACTION
)",ddl
1323a585-b921-528b-a12c-54697d3801d3-ddl,default,,"CREATE TABLE ""employees""
(
    EmployeeId INTEGER PRIMARY KEY AUTOINCREMENT NOT NULL,
    LastName NVARCHAR(20)  NOT NULL,
    FirstName NVARCHAR(20)  NOT NULL,
    Title NVARCHAR(30),
    ReportsTo INTEGER,
    BirthDate DATETIME,
    HireDate DATETIME,
    Address NVARCHAR(70),
    City NVARCHAR(40),
    State NVARCHAR(40),
    Country NVARCHAR(40),
    PostalCode NVARCHAR(10),
    Phone NVARCHAR(24),
    Fax NVARCHAR(24),
    Email NVARCHAR(60),
    FOREIGN KEY (ReportsTo) REFERENCES ""employees"" (EmployeeId) 
		ON DELETE NO ACTION ON UPDATE NO ACTION
)",ddl
145e4a83-6108-5890-84b7-9062ff9e661e-sql,default,"
                    Generating SQL for this question: List all invoices with a total exceeding $10
                    results in the following error: [ERROR-DB] Failed to execute SQL: with totals over $10, displaying their invoice IDs, customer IDs, and total amounts.
</think>

To list all invoices where the total amount exceeds $10, you can use the following SQL query:

```sql
SELECT InvoiceId, CustomerId, Total
FROM ""invoices""
WHERE Total > 10
LIMIT 20;
 Execution failed on sql 'with totals over $10, displaying their invoice IDs, customer IDs, and total amounts.
</think>

To list all invoices where the total amount exceeds $10, you can use the following SQL query:

```sql
SELECT InvoiceId, CustomerId, Total
FROM ""invoices""
WHERE Total > 10
LIMIT 20;': near ""over"": syntax error .
                    Can you try to fix the error and re-generate the SQL statement?
                ","SELECT InvoiceId, CustomerId, Total FROM ""invoices"" WHERE Total > 10 LIMIT 20;",sql
1b4e1e26-6cfa-573b-94b7-055aa1257b40-ddl,default,,"CREATE INDEX IFK_CustomerSupportRepId ON ""customers"" (SupportRepId)",ddl
24ecfae0-fd59-599e-b6a0-b3ac0fa44dd1-doc,default,,"
    In the 'customers' table, address column names do not have 'Billing' prefix, 
    e.g. country column name is 'country', not 'BillingCountry'
    ",documentation
29a795c2-f536-548c-85b1-494e94c547c4-ddl,default,,"CREATE TABLE ""albums""
(
    AlbumId INTEGER PRIMARY KEY AUTOINCREMENT NOT NULL,
    Title NVARCHAR(160)  NOT NULL,
    ArtistId INTEGER  NOT NULL,
    FOREIGN KEY (ArtistId) REFERENCES ""artists"" (ArtistId) 
		ON DELETE NO ACTION ON UPDATE NO ACTION
)",ddl
38197d19-a90b-5ebe-b51d-eeee8760b334-ddl,default,,"CREATE TABLE ""playlist_track""
(
    PlaylistId INTEGER  NOT NULL,
    TrackId INTEGER  NOT NULL,
    CONSTRAINT PK_PlaylistTrack PRIMARY KEY  (PlaylistId, TrackId),
    FOREIGN KEY (PlaylistId) REFERENCES ""playlists"" (PlaylistId) 
		ON DELETE NO ACTION ON UPDATE NO ACTION,
    FOREIGN KEY (TrackId) REFERENCES ""tracks"" (TrackId) 
		ON DELETE NO ACTION ON UPDATE NO ACTION
)",ddl
3d65ede6-f30b-5322-8eed-cbcf142caaf6-sql,default,"
                    Generating SQL for this question: How many customers are there
                    results in the following error: [ERROR-DB] Failed to execute SQL: with COUNT(DISTINCT CustomerId). That should give an exact number of unique customers.
</think>

To determine how many customers there are in the database, we can utilize the `customers` table since it directly contains customer information. 

Here's the SQL query:

```sql
SELECT COUNT(DISTINCT CustomerId) AS NumberOfCustomers FROM ""customers"" limit 20
 Execution failed on sql 'with COUNT(DISTINCT CustomerId). That should give an exact number of unique customers.
</think>

To determine how many customers there are in the database, we can utilize the `customers` table since it directly contains customer information. 

Here's the SQL query:

```sql
SELECT COUNT(DISTINCT CustomerId) AS NumberOfCustomers FROM ""customers"" limit 20': near ""DISTINCT"": syntax error .
                    Can you try to fix the error and re-generate the SQL statement?
                ","SELECT COUNT(DISTINCT CustomerId) AS NumberOfCustomers FROM ""customers"" limit 20",sql
